perturbation_id,target_gene,PRG4_UP_enrichment,PRG4_DOWN_enrichment,prg4_mimetic_score,is_ARE_gene,is_age_UP,is_age_DOWN
3425_GMPR2_P1P2_ENSG00000100938,GMPR2,0.10623981620065094,-0.03909350866058637,0.14533332486123732,False,False,False
245_AKR7A2_P1P2_ENSG00000053371,AKR7A2,0.10428697956392619,-0.04098749937603855,0.14527447893996473,False,False,False
"8865_TGIF2LY_ENST00000321217.4,ENST00000559055.2_ENSG00000176679",TGIF2LY,0.07843940994144792,-0.06643498875284543,0.14487439869429336,False,False,False
8669_TAF7_P1P2_ENSG00000178913,TAF7,0.06481452218631543,-0.07986121510470283,0.14467573729101826,False,False,False
4400_KIFC3_P1P2_ENSG00000140859,KIFC3,0.09871337625485867,-0.045672717707117554,0.14438609396197621,False,False,False
8942_TKT_P1_ENSG00000163931,TKT,0.06096765413848064,-0.08304924264933684,0.14401689678781748,False,False,False
4860_MAST2_P1P2_ENSG00000086015,MAST2,0.10495333396541094,-0.038641562415567064,0.143594896380978,False,False,False
3922_HOXD12_P1P2_ENSG00000170178,HOXD12,0.07668107080227783,-0.06683131328257655,0.1435123840848544,False,False,False
7571_RSBN1L_P1P2_ENSG00000187257,RSBN1L,0.051085231570733185,-0.09188089346539915,0.14296612503613235,False,False,False
1545_CHAF1B_P1P2_ENSG00000159259,CHAF1B,0.16604724638241727,0.023332121065179567,0.1427151253172377,False,False,False
46_ABHD17A_P1P2_ENSG00000129968,ABHD17A,0.07897777649894758,-0.06332730368584985,0.14230508018479743,False,False,False
7328_RNASEH1_P1P2_ENSG00000171865,RNASEH1,0.055367321181406456,-0.0868717697609613,0.14223909094236775,False,False,False
3709_HEXD_P1P2_ENSG00000169660,HEXD,0.11734472708164602,-0.02484293996420244,0.14218766704584845,False,False,False
8111_SLC7A8_P1P2_ENSG00000092068,SLC7A8,0.06969000998273732,-0.07245386051943717,0.14214387050217447,False,False,False
4491_L3MBTL1_P1_ENSG00000185513,L3MBTL1,0.08326898563658781,-0.05836112438267433,0.14163011001926215,False,False,False
826_BHLHA15_P1P2_ENSG00000180535,BHLHA15,0.07910261967846115,-0.06221502784651257,0.14131764752497372,False,False,False
4758_MAGEA12_P1P2_ENSG00000213401,MAGEA12,0.0725280696681546,-0.0687609589437261,0.1412890286118807,False,False,False
2559_EIF4A2_P1_ENSG00000156976,EIF4A2,0.0936080134855791,-0.047641187642471224,0.1412492011280503,False,False,False
814_BDH2_P1P2_ENSG00000164039,BDH2,0.051822340922823854,-0.08935018465300218,0.14117252557582605,False,False,False
635_ATOH1_P1P2_ENSG00000172238,ATOH1,0.07062869232744325,-0.07052215479475817,0.1411508471222014,False,False,False
5368_MYB_P1P2_ENSG00000118513,MYB,0.09387090743538615,-0.04723012573518525,0.1411010331705714,False,False,False
8170_SMG9_P1P2_ENSG00000105771,SMG9,0.08300672061967501,-0.05775293024228731,0.14075965086196232,False,False,False
10492_ZNF599_P1P2_ENSG00000153896,ZNF599,0.10789045058167644,-0.032861658018361425,0.14075210860003787,False,False,False
4379_KIF18A_P1P2_ENSG00000121621,KIF18A,0.051836177446497884,-0.08882058985957508,0.14065676730607296,False,False,False
1293_CCDC74A_P1P2_ENSG00000163040,CCDC74A,0.060606332190719495,-0.07981937996841755,0.14042571215913704,False,False,False
9567_UCP2_P1P2_ENSG00000175567,UCP2,0.06620792301358226,-0.07397355353827804,0.1401814765518603,False,False,False
5271_MRS2_P1P2_ENSG00000124532,MRS2,0.07356439384469664,-0.06646192804515026,0.1400263218898469,False,False,False
3669_HDDC2_P1P2_ENSG00000111906,HDDC2,0.06559754363968809,-0.07408400463672762,0.1396815482764157,False,False,False
3760_HIST1H2BC_P1P2_ENSG00000180596,HIST1H2BC,0.07782682930242377,-0.06180713526773289,0.13963396457015664,False,False,False
3326_GDA_P1P2_ENSG00000119125,GDA,0.09142247167797254,-0.048050664885504045,0.1394731365634766,False,False,False
629_ATIC_P1P2_ENSG00000138363,ATIC,0.05833179637857297,-0.08091279830314155,0.13924459468171452,False,False,False
744_BACH2_P1P2_ENSG00000112182,BACH2,0.06389376442909636,-0.07532653987767973,0.1392203043067761,False,False,False
4783_MAN1A1_P1P2_ENSG00000111885,MAN1A1,0.08997309582311512,-0.04872795038733146,0.13870104621044657,False,False,False
5912_NXT1_P1P2_ENSG00000132661,NXT1,0.10379861317152146,-0.034770544577794035,0.1385691577493155,False,False,False
2376_DROSHA_P1P2_ENSG00000113360,DROSHA,0.0589742513300752,-0.079235906590381,0.1382101579204562,False,False,False
876_BORA_P1P2_ENSG00000136122,BORA,0.061244384611961716,-0.07659316201528087,0.13783754662724257,False,False,False
7772_SENP2_P1P2_ENSG00000163904,SENP2,0.08437889496176014,-0.05326753807353958,0.13764643303529972,False,False,False
10497_ZNF608_P1_ENSG00000168916,ZNF608,0.08713157700677947,-0.05036997948652119,0.13750155649330065,True,False,False
9444_TWSG1_P1P2_ENSG00000128791,TWSG1,0.04591131511597759,-0.0915658622118584,0.137477177327836,False,False,False
7976_SLC1A5_P1_ENSG00000105281,SLC1A5,0.09575456145374063,-0.04160393377054225,0.1373584952242829,False,False,False
4806_MAP3K11_P1_ENSG00000173327,MAP3K11,0.08038029685318147,-0.05696059811567579,0.13734089496885726,False,False,False
7495_RPRD1B_P1P2_ENSG00000101413,RPRD1B,0.03789808111001624,-0.09933214325047908,0.1372302243604953,False,False,False
926_BTG2_P1P2_ENSG00000159388,BTG2,0.07905356291270774,-0.05804387459917901,0.13709743751188674,False,False,False
4227_ITGB1_P1P2_ENSG00000150093,ITGB1,0.07758877820194064,-0.059388620684464,0.13697739888640464,False,False,False
2050_DCAF12_P1P2_ENSG00000198876,DCAF12,0.05611512239269975,-0.08080171333899053,0.13691683573169028,False,False,False
5935_OLA1_P1P2_ENSG00000138430,OLA1,0.07856771225188008,-0.058280623438610527,0.1368483356904906,False,False,False
2276_DNAJA2_P1P2_ENSG00000069345,DNAJA2,0.11654173700888003,-0.01998657789377529,0.13652831490265532,False,False,False
9582_UHRF1BP1_P1P2_ENSG00000065060,UHRF1BP1,0.09640833719733984,-0.04000595833759216,0.136414295534932,False,False,False
5094_MKNK1_P1_ENSG00000079277,MKNK1,0.06772931168483419,-0.0683432414465766,0.13607255313141078,False,False,False
10989_non-targeting_non-targeting_non-targeting,non-targeting,0.06359910936812842,-0.07233913082750378,0.1359382401956322,False,False,False
9190_TP53BP1_P2_ENSG00000067369,TP53BP1,0.08090781431825488,-0.054864721174362883,0.13577253549261775,False,False,False
8712_TBC1D22A_P1P2_ENSG00000054611,TBC1D22A,0.056539966562782686,-0.07914272833229136,0.13568269489507404,False,False,False
4459_KPNA2_P1P2_ENSG00000182481,KPNA2,0.02270337685077265,-0.11261020349466008,0.13531358034543273,False,False,False
10648_ZNF804A_P1P2_ENSG00000170396,ZNF804A,0.06728559952792297,-0.06775533100863089,0.13504093053655386,False,False,False
346_ANKS1A_P1P2_ENSG00000064999,ANKS1A,0.05688556518818697,-0.07797261224771153,0.1348581774358985,False,False,False
2600_ELOVL1_P1P2_ENSG00000066322,ELOVL1,0.040741801191481894,-0.09407185026190534,0.13481365145338725,False,False,False
9447_TXN2_P1P2_ENSG00000100348,TXN2,0.08564918217497257,-0.04878341363619428,0.13443259581116684,False,False,False
4584_LIME1_P1_ENSG00000203896,LIME1,0.09279574665262261,-0.04075423679796404,0.13354998345058666,False,False,False
10684_ZNF878_P1P2_ENSG00000257446,ZNF878,0.09407310936089565,-0.03939871499575706,0.13347182435665272,False,False,False
9372_TSTD2_P1P2_ENSG00000136925,TSTD2,0.06665163517049347,-0.06645448012316016,0.13310611529365363,False,False,False
8935_TJAP1_P1_ENSG00000137221,TJAP1,0.07765355829005091,-0.055173413770890814,0.13282697206094174,False,False,False
1607_CHUK_P1P2_ENSG00000213341,CHUK,0.0683315149311028,-0.0644161264942393,0.13274764142534212,False,False,False
3635_HAUS2_P1P2_ENSG00000137814,HAUS2,0.09111272222754198,-0.0415709727540751,0.13268369498161708,False,False,False
474_ARHGEF10_P1P2_ENSG00000104728,ARHGEF10,0.07491927253218915,-0.05773359733839793,0.13265286987058708,False,False,False
3046_FCHO1_P1P2_ENSG00000130475,FCHO1,0.07408153391701448,-0.05856237674283362,0.1326439106598481,False,False,False
5603_NENF_P1P2_ENSG00000117691,NENF,0.07365668974693154,-0.05887106933936133,0.13252775908629288,False,False,False
9117_TMX2_P1P2_ENSG00000213593,TMX2,0.08042274982354498,-0.05197793830426669,0.13240068812781167,False,False,False
