target_gene,perturbation_id,age_direction,ARE_enrichment,n_ARE_genes
SCAND1,7684_SCAND1_P1P2_ENSG00000171222,UP,-0.015206388653170082,128
ANKRD16,331_ANKRD16_P1P2_ENSG00000134461,UP,-0.015321932961571099,128
SLC38A2,8064_SLC38A2_P1P2_ENSG00000134294,DOWN,-0.015664777548793793,128
RAB11B,7004_RAB11B_P1P2_ENSG00000185236,UP,-0.017356270457025095,128
GOT2,3481_GOT2_P1P2_ENSG00000125166,UP,-0.017674490847375438,128
WBP4,9795_WBP4_P1P2_ENSG00000120688,DOWN,-0.017909367802157836,128
KIF1B,4382_KIF1B_P1P2_ENSG00000054523,DOWN,-0.018083631349254455,128
AEN,172_AEN_P1P2_ENSG00000181026,UP,-0.018509819372045096,128
STXBP6,8566_STXBP6_P1P2_ENSG00000168952,DOWN,-0.018818568917444538,128
NMNAT3,5718_NMNAT3_P1P2_ENSG00000163864,UP,-0.019723034610255787,128
LSR,4698_LSR_P1P2_ENSG00000105699,UP,-0.019922869438719844,128
ASRGL1,591_ASRGL1_P1P2_ENSG00000162174,UP,-0.02003651957813068,128
ABHD8,52_ABHD8_P1P2_ENSG00000127220,UP,-0.02181325009092011,128
SLC31A1,8035_SLC31A1_P1P2_ENSG00000136868,UP,-0.023046354103527702,128
ID2,4019_ID2_P2_ENSG00000115738,DOWN,-0.023237665171535943,128
LIMA1,4580_LIMA1_P2_ENSG00000050405,DOWN,-0.023421399563583464,128
CETN3,1531_CETN3_P1P2_ENSG00000153140,DOWN,-0.02413360710389138,128
APLP1,406_APLP1_P1P2_ENSG00000105290,UP,-0.026313795611589284,128
LEPR,4556_LEPR_P1P2_ENSG00000116678,DOWN,-0.02669641774760577,128
PRPF38B,6795_PRPF38B_P1P2_ENSG00000134186,DOWN,-0.026736195296399562,128
MBOAT2,4884_MBOAT2_P1P2_ENSG00000143797,DOWN,-0.029026245605527943,128
KLF8,4424_KLF8_P1P2_ENSG00000102349,DOWN,-0.030998075524305977,128
FADS1,2815_FADS1_P1P2_ENSG00000149485,UP,-0.031712177233604075,128
NETO2,5607_NETO2_P1P2_ENSG00000171208,UP,-0.03231452297248151,128
ACY1,121_ACY1_P1P2_ENSG00000243989,UP,-0.03239028973208874,128
CSNK1E,1900_CSNK1E_P1P2_ENSG00000213923,UP,-0.03320857073584677,128
RFT1,7255_RFT1_P1P2_ENSG00000163933,UP,-0.033797657291792946,128
TMEM33,9068_TMEM33_P1P2_ENSG00000109133,UP,-0.03484513274336283,128
CHCHD10,1547_CHCHD10_P1P2_ENSG00000250479,UP,-0.035174718147654264,128
STK11,8511_STK11_P1_ENSG00000118046,UP,-0.03550998605891623,128
FADS2,2817_FADS2_P1_ENSG00000134824,UP,-0.03553082191780822,128
VEGFA,9718_VEGFA_P1P2_ENSG00000112715,UP,-0.038332297854285366,128
RILP,7307_RILP_P1P2_ENSG00000167705,UP,-0.038451630500666745,128
SMCHD1,8162_SMCHD1_P1P2_ENSG00000101596,DOWN,-0.04019047763365256,128
LBH,4526_LBH_P1P2_ENSG00000213626,UP,-0.0406659140501879,128
FAM102B,2827_FAM102B_P1P2_ENSG00000162636,DOWN,-0.042274063522851256,128
ZNF689,10555_ZNF689_P1P2_ENSG00000156853,UP,-0.045272533034307186,128
SFXN4,7849_SFXN4_P1P2_ENSG00000183605,UP,-0.047797460298217964,128
GGT1,3359_GGT1_P1_ENSG00000286070,UP,-0.04816114074433265,128
STK11,8512_STK11_P2_ENSG00000118046,UP,-0.049756031034064736,128
NOC4L,5731_NOC4L_P1P2_ENSG00000184967,UP,-0.04986210449751485,128
ARL6IP6,517_ARL6IP6_P1P2_ENSG00000177917,DOWN,-0.05085843738634986,128
HIST1H4H,"3781_HIST1H4H_ENST00000289352.1,ENST00000377727.1_ENSG00000158406",DOWN,-0.051210752818523456,128
TMEM161A,9011_TMEM161A_P1P2_ENSG00000064545,UP,-0.05209343556794763,128
ATP6V0B,674_ATP6V0B_P1P2_ENSG00000117410,UP,-0.053858801066795976,128
CYB561,1988_CYB561_P1P2_ENSG00000008283,UP,-0.054074736331676566,128
ANKRD9,345_ANKRD9_P1P2_ENSG00000156381,UP,-0.054540701903261005,128
TMEM115,8986_TMEM115_P1P2_ENSG00000126062,UP,-0.05569993332525155,128
GCAT,3313_GCAT_P1P2_ENSG00000100116,UP,-0.055932916111043764,128
TTLL4,9403_TTLL4_P1P2_ENSG00000135912,UP,-0.05760357316038308,128
PDCD4,6155_PDCD4_P2_ENSG00000150593,DOWN,-0.05996181355315796,128
SLC16A1,7966_SLC16A1_P2_ENSG00000155380,UP,-0.0619033367680931,128
PHF19,6283_PHF19_P1P2_ENSG00000119403,DOWN,-0.06196584434476906,128
INPP5K,4138_INPP5K_P1P2_ENSG00000132376,UP,-0.06313454661171052,128
SLC35A1,8037_SLC35A1_P1P2_ENSG00000164414,DOWN,-0.0645627500303067,128
MED28,4951_MED28_P1P2_ENSG00000118579,DOWN,-0.06474080191538369,128
C6orf47,1111_C6orf47_P1P2_ENSG00000204439,UP,-0.06560643714389623,128
CCNO,1336_CCNO_P1P2_ENSG00000152669,UP,-0.06677513941083768,128
TOMM34,9165_TOMM34_P1P2_ENSG00000025772,UP,-0.06728656503818645,128
GLI2,3392_GLI2_ENST00000361492.4_ENSG00000074047,DOWN,-0.06729414171414717,128
DNAJA1,2274_DNAJA1_P1_ENSG00000086061,DOWN,-0.06765971632925204,128
WRN,9877_WRN_P1P2_ENSG00000165392,DOWN,-0.06881894775124257,128
LIMA1,4581_LIMA1_P1_ENSG00000050405,DOWN,-0.06927733664686629,128
ZNF518B,10417_ZNF518B_P1P2_ENSG00000178163,DOWN,-0.06927733664686629,128
NOC2L,5729_NOC2L_P1P2_ENSG00000188976,UP,-0.06975277306340162,128
PFKL,6245_PFKL_P2_ENSG00000141959,UP,-0.07198410413383441,128
ARFRP1,452_ARFRP1_P1P2_ENSG00000101246,UP,-0.07212616680809796,128
NSFL1C,5824_NSFL1C_P1P2_ENSG00000088833,UP,-0.0731376530488544,128
RAB22A,7015_RAB22A_P1P2_ENSG00000124209,DOWN,-0.073489968481028,128
C9orf16,1131_C9orf16_P1P2_ENSG00000171159,UP,-0.07532731240150321,128
ARHGAP1,462_ARHGAP1_P1P2_ENSG00000175220,UP,-0.07665133652563948,128
STK24,8517_STK24_P1P2_ENSG00000102572,UP,-0.078848572554249,128
IQGAP2,4173_IQGAP2_P1P2_ENSG00000145703,UP,-0.08048892289974542,128
GTF2F2,3572_GTF2F2_P1P2_ENSG00000188342,UP,-0.0844988786519578,128
PES1,6219_PES1_P1P2_ENSG00000100029,UP,-0.085517941568675,128
AP1S2,372_AP1S2_P1P2_ENSG00000182287,DOWN,-0.08557476663838041,128
SOX9,8301_SOX9_P1P2_ENSG00000125398,UP,-0.08566947508788944,128
