Gene_Target,Perturbation,Axis_Score,direction,logFC,adj.P.Val
GOT2,3481_GOT2_P1P2_ENSG00000125166,0.0021414298,UP,0.0145641422898208,0.0479403906948764
HIST1H4H,"3781_HIST1H4H_ENST00000289352.1,ENST00000377727.1_ENSG00000158406",0.0022633488,DOWN,-0.011761590917849,0.0401729668776668
SLC39A3,8074_SLC39A3_P1P2_ENSG00000141873,0.0023268,UP,0.0111965170712398,0.0108489065150277
MANBAL,4791_MANBAL_P1P2_ENSG00000101363,0.0023907225,UP,0.00915597901513755,0.0382837713516112
THAP7,8880_THAP7_P1P2_ENSG00000184436,0.0026137803,UP,0.00923983393570846,0.0289222052277259
BSG,913_BSG_P1P2_ENSG00000172270,0.0027979752,UP,0.0154878075560867,0.0219140148434724
BSG,913_BSG_P1P2_ENSG00000172270,0.0027979752,UP,0.0134824307034072,0.0214813166357918
SOX9,8301_SOX9_P1P2_ENSG00000125398,0.002873683,UP,0.0182315403920421,0.0224862690054313
ID2,4020_ID2_P1_ENSG00000115738,0.0031476954,DOWN,-0.0131809571703663,0.0312917431621461
ASB13,564_ASB13_P1P2_ENSG00000196372,0.0031938178,UP,0.0207079337489159,0.00978071916088283
ASB13,564_ASB13_P1P2_ENSG00000196372,0.0031938178,UP,0.016694667964659,0.0373035320481167
POM121,6567_POM121_P1P2_ENSG00000196313,0.00330057,UP,0.00858394601506846,0.0373035320481167
COPG2,1776_COPG2_P1P2_ENSG00000158623,0.0033837007,UP,0.0107031336183546,0.0226946247443891
ARHGAP1,462_ARHGAP1_P1P2_ENSG00000175220,0.003625958,UP,0.00896485577454609,0.0180506429320999
ARHGAP1,462_ARHGAP1_P1P2_ENSG00000175220,0.003625958,UP,0.0178089748650318,0.00454532720524772
BEST1,819_BEST1_P2_ENSG00000167995,0.0039175465,UP,0.0217143587467327,0.0405162731281127
PI4K2A,6315_PI4K2A_P1P2_ENSG00000155252,0.004014215,UP,0.0109003146496338,0.0309932417847774
MFSD11,5025_MFSD11_P1P2_ENSG00000092931,0.004050391,DOWN,-0.00937492119690952,0.0271375227919344
DENND1A,2146_DENND1A_P1P2_ENSG00000119522,0.004067773,UP,0.0107844935916031,0.0383558148675779
GGT1,3360_GGT1_P2_ENSG00000286070,0.004100988,UP,0.0113632365537931,0.0261828020952465
DDAH2,2086_DDAH2_P1P2_ENSG00000213722,0.004433708,DOWN,-0.0113224199925575,0.0108489065150277
ASRGL1,591_ASRGL1_P1P2_ENSG00000162174,0.0045646606,UP,0.0158849877023002,0.00845060980835057
ASRGL1,591_ASRGL1_P1P2_ENSG00000162174,0.0045646606,UP,0.0148599810340011,0.0168276050206054
ZXDC,10741_ZXDC_P1P2_ENSG00000070476,0.004583712,DOWN,-0.0111452545983987,0.0214813166357918
LHX2,4568_LHX2_P1P2_ENSG00000106689,0.004616816,UP,0.0248553873956604,0.012855091259739
GCAT,3313_GCAT_P1P2_ENSG00000100116,0.0047171344,UP,0.0109672728286736,0.0232720554268509
NFX1,5654_NFX1_P1P2_ENSG00000086102,0.004738683,UP,0.00949459692752374,0.0308967089158896
PHF19,6283_PHF19_P1P2_ENSG00000119403,0.004796138,DOWN,-0.0102978224288835,0.0103066581320454
SLC35A1,8037_SLC35A1_P1P2_ENSG00000164414,0.0048741563,DOWN,-0.00864444299024996,0.0232720554268509
AGPAT4,196_AGPAT4_P1P2_ENSG00000026652,0.0048962487,DOWN,-0.0100465753778135,0.0412254272183675
EDEM3,2478_EDEM3_P1P2_ENSG00000116406,0.0049910517,DOWN,-0.0092477741122529,0.0363991481341572
PDCD4,6156_PDCD4_P1_ENSG00000150593,0.005188391,DOWN,-0.0115226789592798,0.0207718775876049
PHKG2,6300_PHKG2_P1P2_ENSG00000156873,0.0052461987,UP,0.00762116188795683,0.0491947428891234
ID2,4019_ID2_P2_ENSG00000115738,0.0052610696,DOWN,-0.0131809571703663,0.0312917431621461
TTLL4,9403_TTLL4_P1P2_ENSG00000135912,0.0052833324,UP,0.0186842632058468,0.0223068032234418
TMEM98,9101_TMEM98_P1P2_ENSG00000006042,0.005350702,UP,0.0204156243427939,0.0207718775876049
FADS2,2816_FADS2_P2_ENSG00000134824,0.005513972,UP,0.0121226989491396,0.0373035320481167
FADS2,2816_FADS2_P2_ENSG00000134824,0.005513972,UP,0.018688354988202,0.0130248413436757
KRAS,4466_KRAS_P1P2_ENSG00000133703,0.005572663,DOWN,-0.00999416119484724,0.0404555553245339
GTF2F2,3572_GTF2F2_P1P2_ENSG00000188342,0.005599009,UP,0.0110122770153645,0.0271375227919344
CSNK1E,1900_CSNK1E_P1P2_ENSG00000213923,0.0057253623,UP,0.011888271538706,0.0330694903066041
ARHGAP21,463_ARHGAP21_P1P2_ENSG00000107863,0.005795105,DOWN,-0.0181114717568047,0.00211168697793625
SLC2A1,8026_SLC2A1_P1P2_ENSG00000117394,0.00585443,UP,0.0208138623886908,0.012855091259739
SCAND1,7684_SCAND1_P1P2_ENSG00000171222,0.0060405335,UP,0.00825044897736307,0.0240134821793781
NETO2,5607_NETO2_P1P2_ENSG00000171208,0.006415063,UP,0.0240809763470547,0.0211567108225005
NETO2,5607_NETO2_P1P2_ENSG00000171208,0.006415063,UP,0.024129733923094,0.0333375761179703
SLC25A4,8011_SLC25A4_P1P2_ENSG00000151729,0.006440321,UP,0.0176779971347318,0.00778061164908113
SLC40A1,8082_SLC40A1_P1_ENSG00000138449,0.0066616894,DOWN,-0.0132626406142714,0.0375355739135275
CHDH,1567_CHDH_P1P2_ENSG00000016391,0.0068472014,UP,0.0138253399573845,0.0427491567597914
FBXW9,3040_FBXW9_P1P2_ENSG00000132004,0.006884839,UP,0.0079035883122042,0.0373035320481167
APLP2,407_APLP2_P1P2_ENSG00000084234,0.0069500525,UP,0.0111896403856573,0.0168276050206054
TMEM62,9087_TMEM62_P1P2_ENSG00000137842,0.0069900006,UP,0.0125768354643687,0.00407290694652651
LRRC20,4658_LRRC20_P1P2_ENSG00000172731,0.0074559925,UP,0.0137736286909979,0.0207718775876049
PFKL,6244_PFKL_P1_ENSG00000141959,0.0074899867,UP,0.0173403936704166,0.0104495159848239
C9orf16,1131_C9orf16_P1P2_ENSG00000171159,0.007937375,UP,0.0135983489911101,0.012855091259739
ACY1,121_ACY1_P1P2_ENSG00000243989,0.008181091,UP,0.00844077916511836,0.0385118102225947
TMEM33,9068_TMEM33_P1P2_ENSG00000109133,0.008198783,UP,0.010561198999072,0.0168895716790559
STK11,8512_STK11_P2_ENSG00000118046,0.008554526,UP,0.00924389064692581,0.0353268980388232
ARAF,432_ARAF_P1P2_ENSG00000078061,0.008670338,UP,0.0124172677261815,0.0389390716216429
BCAT1,787_BCAT1_P1P2_ENSG00000060982,0.008678723,UP,0.0191181068720799,0.0445321187123484
PCOLCE2,6140_PCOLCE2_P1P2_ENSG00000163710,0.008752322,UP,0.02239024274882,0.0186487909648053
MBOAT2,4884_MBOAT2_P1P2_ENSG00000143797,0.008846995,DOWN,-0.0113001013441122,0.0223997015593214
GLI2,3392_GLI2_ENST00000361492.4_ENSG00000074047,0.008900642,DOWN,-0.0124495371822522,0.0373035320481167
ANKRD9,345_ANKRD9_P1P2_ENSG00000156381,0.0091447765,UP,0.0153317806634412,0.00615523463114332
FRYL,3204_FRYL_P1P2_ENSG00000075539,0.009349281,DOWN,-0.00921429662034511,0.00407290694652651
PRKCB,6761_PRKCB_P1P2_ENSG00000166501,0.009946533,UP,0.0149741224933481,0.0271375227919344
SLC9A3R1,8114_SLC9A3R1_P1P2_ENSG00000109062,0.010301526,UP,0.0178321245746454,0.00986864202441733
SLC16A1,7966_SLC16A1_P2_ENSG00000155380,0.010464235,UP,0.0197266894919388,0.026462372826106
WRN,9877_WRN_P1P2_ENSG00000165392,0.010887184,DOWN,-0.0079581345163928,0.036502183186153
ABHD8,52_ABHD8_P1P2_ENSG00000127220,0.011239806,UP,0.0113067767869126,0.0125341083157423
SP5,8310_SP5_P1P2_ENSG00000204335,0.011389841,UP,0.0219845554183557,0.0333375761179703
WBP4,9795_WBP4_P1P2_ENSG00000120688,0.011683861,DOWN,-0.00934398900152491,0.00676339515854389
PITPNA,6379_PITPNA_P1P2_ENSG00000174238,0.011875169,UP,0.0197646156581008,0.0356681089545314
PITPNA,6379_PITPNA_P1P2_ENSG00000174238,0.011875169,UP,0.0204579734568881,0.00676339515854389
PITPNA,6379_PITPNA_P1P2_ENSG00000174238,0.011875169,UP,0.0138493569032985,0.0271375227919344
CIB1,1611_CIB1_P1P2_ENSG00000185043,0.011911386,UP,0.00793726947916737,0.0385118102225947
SLC19A1,7972_SLC19A1_P1P2_ENSG00000173638,0.012060987,UP,0.0155066810725295,0.0447455547367026
HBZ,3655_HBZ_P1P2_ENSG00000130656,0.012505649,UP,0.021465095926682,0.012855091259739
CTSD,1947_CTSD_P1P2_ENSG00000117984,0.012587462,UP,0.0210537415468474,0.0112102448955385
ZEB2,10061_ZEB2_P2_ENSG00000169554,0.012714933,DOWN,-0.011157051875192,0.0272909533345406
AEN,172_AEN_P1P2_ENSG00000181026,0.01274619,UP,0.0136123016751751,0.0423784418214644
S100A1,7623_S100A1_P2_ENSG00000160678,0.01279553,UP,0.0119798309188864,0.0301385191209631
EXOSC1,2788_EXOSC1_P1P2_ENSG00000171311,0.013307743,UP,0.00606966454825471,0.0257786665340111
IFRD1,4048_IFRD1_P2_ENSG00000006652,0.013383727,DOWN,-0.00987034009496678,0.0436260708508578
KIF1B,4382_KIF1B_P1P2_ENSG00000054523,0.013401259,DOWN,-0.0121159475525796,0.00794989334969128
ZNF541,10432_ZNF541_P1P2_ENSG00000118156,0.013627427,UP,0.0120062063249419,0.0322867901249762
CGGBP1,1540_CGGBP1_P1_ENSG00000163320,0.013754085,DOWN,-0.0093159861799731,0.0462128364115417
RBPJ,7191_RBPJ_P1P2_ENSG00000168214,0.013902196,DOWN,-0.00778453100570468,0.0108489065150277
LIMA1,4581_LIMA1_P1_ENSG00000050405,0.014101497,DOWN,-0.010832436853923,0.0128959018141283
AP1S2,372_AP1S2_P1P2_ENSG00000182287,0.014312689,DOWN,-0.0131231783782751,0.0472822498662355
MEST,4981_MEST_P2_ENSG00000106484,0.014720352,DOWN,-0.0224318564860959,0.00585992008486129
TTC7A,9392_TTC7A_P1P2_ENSG00000068724,0.014774545,UP,0.011514123552767,0.0462128364115417
TMEM214,9042_TMEM214_P1P2_ENSG00000119777,0.01515348,UP,0.00973782002812309,0.0314004255818238
MAN2A1,4786_MAN2A1_P1P2_ENSG00000112893,0.015391166,UP,0.0154942635422018,0.0108489065150277
TCF7,8787_TCF7_P1P2_ENSG00000081059,0.015641738,UP,0.0112567426014502,0.0207031056612992
SFXN4,7849_SFXN4_P1P2_ENSG00000183605,0.016281517,UP,0.0111942707340821,0.012855091259739
BEST1,818_BEST1_P1_ENSG00000167995,0.017202465,UP,0.0217143587467327,0.0405162731281127
SNX6,8258_SNX6_P1P2_ENSG00000129515,0.017321955,DOWN,-0.00890860033875996,0.0353268980388232
FADS2,2817_FADS2_P1_ENSG00000134824,0.017525176,UP,0.0121226989491396,0.0373035320481167
