gene,rescue_lfc,rescue_pval,h2o2_lfc,h2o2_pval
MAGEA9,-3.6947259339865,0.388960147081318,3.41571594909035,0.42576061171695
ATP6V1G3,-3.69472593396887,0.388960147083113,3.41569895157384,0.42576291455052
H2BC13,-3.69472593396887,0.388960147083113,3.41569895157384,0.42576291455052
IGFLR1,3.69329952066232,0.156018538299321,-0.958673816111251,0.733456416158941
PATE1,3.68601003011441,0.388615019925178,0,1
WFDC1,3.68600794234035,0.38861525506707,-1.80286131226828,0.680088254762613
CD300C,3.6857241680002,0.38865243021007,0,1
HCRTR2,3.6857241680002,0.38865243021007,0,1
SLC2A7,-3.68111750830881,0.390752680721655,3.40210765558563,0.427648810027094
DBX2,-3.67475267236448,0.122129693011982,5.21201727629985,0.0328617090293159
TMEM100,-3.66944986118157,0.258921824197407,3.3904396997273,0.296893525309827
WFIKKN2,3.66791306086599,0.07057177920115,-1.59193257635373,0.44765784400308
PPY,-3.66738935244216,0.392566138868085,3.38837963305484,0.429558602727017
KRT75,-3.66721155559827,0.217276049055076,5.19815905385833,0.0856295901029842
C3orf85,-3.65708837723038,0.226413559257764,0.948116977866686,0.744339550386103
GPR119,-3.65353860580042,0.394401030917192,3.37452902093963,0.431490511612996
ACTL7B,3.64712997584851,0.393723521615352,0,1
MYMK,3.64692160262046,0.373591801740709,0,1
FMOD,3.64606608026245,0.106948159907267,1.93123140968551,0.446569272830406
PI3,3.6450874906529,0.393993018040839,0,1
SST,3.6450874906529,0.393993018040839,0,1
POM121L2,3.64487567904039,0.373191551758897,-0.958667399732976,0.820698845043154
HTR1B,3.64320700928828,0.178586296594349,-4.6065250162436,0.0869323724300499
HEPACAM2,3.61624092651441,0.101902186372361,1.81339444594255,0.466550597688514
GPR142,3.60753986316797,0.39896733728685,0,1
SMYD1,3.60753986316797,0.39896733728685,0,1
BATF,3.60709863896211,0.321303170183155,-3.38452410398799,0.353975787807285
IGFBP4,3.60317984723172,0.363641298826274,-1.9145971933864,0.637131741824439
CCDC179,3.60309429523752,0.346513894166235,0,1
PKHD1,3.60262547580639,0.128961478231741,0,1
TMEM213,3.59369767721398,0.111157557268272,-1.29909383330721,0.577723201085784
NLRP11,3.5853835594833,0.155390886466824,-1.81429315564488,0.498352337127546
OR5P3,3.56503023230732,0.25931935513576,-3.43007197577884,0.279866248389794
FBXO40,-3.56265859941609,0.406570592020551,3.28364989723496,0.444291978605646
PRR30,3.5604354371083,0.405261490302962,0,1
CALM2,-3.52979385563953,0.411026790407357,2.28903548647847,0.593944399698451
SV2B,3.52803134760646,0.195736803048281,-2.4740953223544,0.377036597568274
PTPRZ1,3.52661309169391,0.0138318865656052,-1.13676381477257,0.454347521188527
KISS1R,3.52544875379765,0.375325534240912,-1.80388999150477,0.658156000484945
C9orf131,-3.52523235313196,0.170237229906748,5.06008109444474,0.0544302566925593
FMO3,3.52516374002883,0.41001356557163,0,1
CST9,3.52295196509297,0.410312663612933,0,1
CSTA,3.52295196509297,0.410312663612933,0,1
HAVCR1,3.52295196509297,0.410312663612933,0,1
OR52I2,3.52295196509297,0.410312663612933,0,1
LEP,3.52073702113371,0.410612321387017,0,1
SIRPB2,3.52073702113371,0.410612321387017,0,1
NCMAP,3.51860360099617,0.401225836597238,-0.958666619067342,0.824487727503392
GHRH,3.5185188563891,0.410912546436229,0,1
IDO1,3.5185188563891,0.410912546436229,0,1
MLC1,3.5185188563891,0.410912546436229,0,1
SLC22A6,3.5185188563891,0.410912546436229,0,1
TDRD5,3.5185188563891,0.410912546436229,0,1
PPP1R1A,3.51629750404995,0.411213334809886,0,1
PRAL,3.51629750404995,0.411213334809886,0,1
GPR78,3.51629750402898,0.411213334812292,0,1
AMTN,-3.51244895382959,1.26506552570694e-112,0.0080981466353204,0.95654248943088
CXCR3,3.49262693758248,0.414426702323892,0,1
ELOVL3,3.48899416129343,0.176151128577571,0.982997795615698,0.713286894919385
BRS3,3.46633248177146,0.138131038976729,1.83989261625208,0.479605942318609
H2AC16,3.4520159093287,0.0454936964256967,1.82591141182595,0.377805239523184
TEX33,3.44462131387684,0.0926020113024052,0.962867011413432,0.681582214977409
GDF6,-3.43909890341913,6.44790273377016e-68,-0.446259408822469,0.006597612352941
CLC,3.42611778473815,0.423535449739791,0,1
C6orf15,-3.39935248363852,0.429001355012246,3.12034536758169,0.467835686302163
RBMXL2,-3.39109838809114,0.430154106260183,3.1120913522029,0.469043844920539
SPACA7,3.38687421057969,0.269230991291559,0.964890102798732,0.767294346704616
PDCL2,3.37912447523131,0.165193602886616,-3.67127674136602,0.13150804824013
CCDC89,3.37901612239689,0.260535177864902,-2.84564573570716,0.349313504743261
BLID,-3.37794944231504,0.366181055650133,4.0607274801268,0.277335786017152
TREML1,3.37775833434637,0.344628076436229,0,1
