perturbation_id,target_gene,age_UP_enrichment,age_DOWN_enrichment,mimetic_score,is_ARE_gene,is_age_UP,is_age_DOWN
3038_FBXW7_ENST00000281708.4_ENSG00000109670,FBXW7,0.08404305812106659,-0.11562547224487145,0.19966853036593804,False,False,False
6187_PDLIM2_P2_ENSG00000120913,PDLIM2,0.11632432077026292,-0.08321971779061642,0.19954403856087932,False,False,False
9999_ZBTB45_P1P2_ENSG00000119574,ZBTB45,0.13145301639027637,-0.06764622361863702,0.19909924000891338,False,False,False
11048_non-targeting_non-targeting_non-targeting,non-targeting,0.11332036137919128,-0.08556786459795049,0.19888822597714179,False,False,False
4833_MAPK9_P1P2_ENSG00000050748,MAPK9,0.035357136252776374,-0.1634386567404601,0.19879579299323646,False,False,False
7381_OBI1_P1P2_ENSG00000152193,OBI1,0.12402119620046397,-0.0739300903222807,0.19795128652274468,False,False,False
8037_SLC35A1_P1P2_ENSG00000164414,SLC35A1,0.02440562903361676,-0.17329290225299207,0.19769853128660883,False,False,True
1768_COMTD1_P1P2_ENSG00000165644,COMTD1,0.07941178283551574,-0.11821275140033576,0.1976245342358515,True,False,False
8363_SPIRE1_P1P2_ENSG00000134278,SPIRE1,0.10044566264837446,-0.09701134384076443,0.1974570064891389,False,False,False
6584_POU2AF1_P1P2_ENSG00000110777,POU2AF1,0.0765167221091,-0.12050775768586322,0.19702447979496324,False,False,False
2928_TLCD3A_P1P2_ENSG00000167695,TLCD3A,0.080841848318543,-0.11599745589751853,0.19683930421606155,False,False,False
3494_GPBP1L1_P1P2_ENSG00000159592,GPBP1L1,0.07998298715201223,-0.11666171242010245,0.19664469957211467,False,False,False
5066_MIEF1_P1P2_ENSG00000100335,MIEF1,0.060855861316523215,-0.13574580231393757,0.19660166363046078,False,False,False
1458_CDT1_P1P2_ENSG00000167513,CDT1,0.10982533065127564,-0.08666388786021383,0.19648921851148948,False,False,False
1309_CCDC93_P1P2_ENSG00000125633,CCDC93,0.05909088107238468,-0.13739315848994568,0.19648403956233035,False,False,False
389_AP5M1_P1P2_ENSG00000053770,AP5M1,0.05554653774160602,-0.14089046908134992,0.19643700682295595,False,False,False
1050_C1orf50_P1P2_ENSG00000164008,C1orf50,0.047997600119994016,-0.14760278124206014,0.19560038136205415,False,False,False
7953_SLC10A7_P1P2_ENSG00000120519,SLC10A7,0.09442130633194368,-0.10113139492209104,0.19555270125403473,False,False,False
7760_SEL1L_P1P2_ENSG00000071537,SEL1L,0.0638639300911667,-0.1316373757217562,0.1955013058129229,False,False,False
3694_HERC4_P1P2_ENSG00000148634,HERC4,0.07267239377757138,-0.12253706136235681,0.1952094551399282,False,False,True
10430_ZNF540_P2_ENSG00000171817,ZNF540,0.08837434840586737,-0.1066679730378277,0.19504232144369507,False,False,False
5_AAGAB_P1P2_ENSG00000103591,AAGAB,0.09675132681722082,-0.0982883770054319,0.19503970382265273,False,False,False
1340_CCP110_P1P2_ENSG00000103540,CCP110,0.033053826760716734,-0.16191086673851712,0.19496469349923384,False,False,False
6526_POLG_P1P2_ENSG00000140521,POLG,0.14397430813390838,-0.05091028053213597,0.19488458866604436,False,False,False
7229_RELN_P1P2_ENSG00000189056,RELN,0.07917138389655855,-0.11549262094035484,0.19466400483691337,False,False,False
11219_non-targeting_non-targeting_non-targeting,non-targeting,0.06695624122903439,-0.12757212580354288,0.19452836703257725,False,False,False
3857_HNRNPA1_P1P2_ENSG00000135486,HNRNPA1,0.04737297381706254,-0.14701823550218623,0.19439120931924878,False,False,False
6046_PAK4_P1P2_ENSG00000130669,PAK4,0.14081830155067585,-0.05346766814408378,0.19428596969475964,False,False,False
