pathway,pathway_size,overlap,pval,odds_ratio,gene_list,fdr
FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,311,9,0.025514139924841767,2.208309018425055,"PRKD2, RNF19B, PRKAB2, IER3, PML, SLC25A45, CLP1, RIN1, ZNF79",0.8249281806207307
SAUL_SEN_MAYO,124,5,0.026133216543782707,3.107348575897204,"TNFRSF1B, CCL8, IL1A, SERPINB4, CCL3",0.8249281806207307
CARRILLOREIXACH_MRS3_VS_LOWER_RISK_HEPATOBLASTOMA_DN,168,6,0.026282838453733727,2.740549560011553,"EPHA3, RRAS, LRCH2, NEXN, MB21D2, PRELP",0.8249281806207307
FARMER_BREAST_CANCER_CLUSTER_5,19,2,0.026369042906536987,8.68247310409476,"TUBD1, SMARCD2",0.8249281806207307
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_17,19,2,0.026369042906536987,8.68247310409476,"FCRL4, NTRK1",0.8249281806207307
WP_MITOCHONDRIAL_FATTY_ACID_OXIDATION_DISORDERS,19,2,0.026369042906536987,8.68247310409476,"ACSL3, SLC25A20",0.8249281806207307
ZHAN_MULTIPLE_MYELOMA_CD2_UP,48,3,0.026535448104830755,4.923993004170438,"RNGTT, LAMA2, MARCKS",0.8249281806207307
PULVER_FOREY_CELLCYCLE_ENRICHED_TFS_G2_M,314,9,0.026907748867106628,2.1864732770471704,"RBM22, CDC5L, CBX1, ATF1, THAP1, PML, SMARCA5, DEAF1, ZNF512",0.8249281806207307
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_3,20,2,0.029042887319925378,8.1999708886057,"LMO7, NPY1R",0.8249281806207307
TORCHIA_TARGETS_OF_EWSR1_FLI1_FUSION_TOP20_UP,20,2,0.029042887319925378,8.1999708886057,"NDRG2, PHLDA2",0.8249281806207307
ZIRN_TRETINOIN_RESPONSE_UP,20,2,0.029042887319925378,8.1999708886057,"CCN2, THSD4",0.8249281806207307
BROWNE_HCMV_INFECTION_48HR_DN,478,12,0.029318345838997006,1.910133549757688,"HSPB6, ATOSB, ATP2C1, PPP6R2, RNF19B, REEP5, LMO7, CXCL13, UBA7, LAMA2",0.8249281806207307
MANNE_COVID19_ICU_VS_HEALTHY_DONOR_PLATELETS_UP,128,5,0.029424131482325668,3.0060870525722168,"PPP6R2, MIIP, POR, FHIP2B, NICOL1",0.8249281806207307
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_DN,175,6,0.031215091425349388,2.626715001895667,"PPP6R2, MDC1, C2CD2, FHIP2B, RXRB, PLEKHM1",0.8249281806207307
BIOCARTA_NFKB_PATHWAY,21,2,0.03181983227532185,7.768258376578719,"TNFRSF1B, IL1A",0.8249281806207307
SESTO_RESPONSE_TO_UV_C3,21,2,0.03181983227532185,7.768258376578719,"IER3, PHLDA2",0.8249281806207307
SUZUKI_RESPONSE_TO_TSA_AND_DECITABINE_1A,21,2,0.03181983227532185,7.768258376578719,"CYP4B1, LAMA2",0.8249281806207307
BAKKER_FOXO3_TARGETS_DN,176,6,0.031965592211242684,2.611218196499293,"MMP24OS, POR, FIBIN, DEAF1, FOCAD, SYS1",0.8249281806207307
NIKOLSKY_BREAST_CANCER_16Q24_AMPLICON,52,3,0.032610904512379246,4.521719623269513,"VPS9D1, SPG7, MC1R",0.8249281806207307
TIEN_INTESTINE_PROBIOTICS_6HR_UP,53,3,0.03423333540950074,4.431208112308275,"CDC5L, MMP24OS, UGT1A10",0.8249281806207307
WP_NAD_BIOSYNTHETIC_PATHWAYS,22,2,0.03469664249650379,7.3797171129834975,"SIRT5, TDO2",0.8249281806207307
YUAN_ZNF143_PARTNERS,22,2,0.03469664249650379,7.3797171129834975,"GPBP1, LMO7",0.8249281806207307
LEE_LIVER_CANCER_SURVIVAL_DN,180,6,0.035084544111438604,2.551012216900169,"HNRNPC, LRRCC1, IER3, PHLDA2, RPE, MARCKS",0.8249281806207307
KYNG_DNA_DAMAGE_BY_UV,54,3,0.035896866298621655,4.344246072275667,"GPD2, SIRT5, PRKAB2",0.8249281806207307
MAYBURD_RESPONSE_TO_L663536_DN,54,3,0.035896866298621655,4.344246072275667,"SLC39A6, SLC30A5, MED21",0.8249281806207307
CROONQUIST_STROMAL_STIMULATION_UP,55,3,0.037601300154813,4.260628726007793,"CCN2, IER3, CCL3",0.8249281806207307
HOLLEMAN_ASPARAGINASE_RESISTANCE_ALL_UP,23,2,0.03767015069962517,7.028179776992495,"NTRK3, TAP2",0.8249281806207307
