pathway,pathway_size,overlap,pval,odds_ratio,gene_list,fdr
NAKAMURA_ADIPOGENESIS_EARLY_DN,35,1,0.05037913792686555,20.127674696306332,MYH11,0.2076340184557244
NAKAMURA_ADIPOGENESIS_LATE_DN,35,1,0.05037913792686555,20.127674696306332,MYH11,0.2076340184557244
REACTOME_NUCLEOTIDE_CATABOLISM,35,1,0.05037913792686555,20.127674696306332,GDA,0.2076340184557244
VALK_AML_CLUSTER_9,35,1,0.05037913792686555,20.127674696306332,MYH11,0.2076340184557244
WEIGEL_OXIDATIVE_STRESS_BY_TBH_AND_H2O2,35,1,0.05037913792686555,20.127674696306332,ITGAL,0.2076340184557244
WP_LEUKOCYTEINTRINSIC_HIPPO_PATHWAY_FUNCTIONS,35,1,0.05037913792686555,20.127674696306332,ITGAL,0.2076340184557244
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,247,2,0.05181404329121993,5.632458424078794,"SLC5A4, SLC22A2",0.20924906025179144
YAUCH_HEDGEHOG_SIGNALING_PARACRINE_DN,249,2,0.0525598718546382,5.586658685817492,"CASQ2, ATP2A1",0.20924906025179144
BILANGES_RAPAMYCIN_SENSITIVE_GENES,37,1,0.05318093047517314,19.00881731737996,NEU1,0.20924906025179144
FIGUEROA_AML_METHYLATION_CLUSTER_6_DN,37,1,0.05318093047517314,19.00881731737996,XKR6,0.20924906025179144
KEGG_MEDICUS_REFERENCE_TIGHT_JUNCTION_ACTIN_SIGNALING_PATHWAY,37,1,0.05318093047517314,19.00881731737996,CLDN2,0.20924906025179144
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION,37,1,0.05318093047517314,19.00881731737996,ACOT1,0.20924906025179144
DANG_REGULATED_BY_MYC_DN,251,2,0.05330955261180822,5.5415946862882635,"ITGAL, JPH2",0.20924906025179144
GAUSSMANN_MLL_AF4_FUSION_TARGETS_D_UP,38,1,0.05457876127890726,18.494747696423623,F5,0.21010098978763897
MIKKELSEN_MEF_ICP_WITH_H3K4ME3_AND_H3K27ME3,38,1,0.05457876127890726,18.494747696423623,OPCML,0.21010098978763897
KEGG_SPHINGOLIPID_METABOLISM,39,1,0.05597455236455451,18.007734362930538,NEU1,0.21010098978763897
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE,39,1,0.05597455236455451,18.007734362930538,F5,0.21010098978763897
REACTOME_GLYCOSPHINGOLIPID_CATABOLISM,39,1,0.05597455236455451,18.007734362930538,NEU1,0.21010098978763897
BURTON_ADIPOGENESIS_PEAK_AT_16HR,40,1,0.05736830667350945,17.545696064646737,CDCA7,0.21010098978763897
HOFFMANN_IMMATURE_TO_MATURE_B_LYMPHOCYTE_UP,40,1,0.05736830667350945,17.545696064646737,NEU1,0.21010098978763897
