logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,gene_symbol
-0.00167682152410603,4.674512605758603,-0.4642566545824249,0.6434899261197903,1,-12.411615804069507,ENSG00000005100,DHX33
0.009509817303887377,1.3275920484521913,1.085932240506329,0.28016353447954595,0.9741244721808022,-11.928282564756806,ENSG00000005102,MEOX1
-0.004419892556689464,4.46446008346728,-0.6501062141857149,0.5171393370797152,1,-12.307349230458142,ENSG00000005108,THSD7A
-0.0014247780372919558,4.481473920729537,-0.41558799070971286,0.6786168777230124,1,-12.433201327483909,ENSG00000005156,LIG3
-0.0021108872275695375,4.8252088656646475,-0.5717930067745324,0.5687668043666125,1,-12.355497654587875,ENSG00000005175,RPAP3
-0.012536769788565359,2.001361869351158,-1.6781150284325852,0.09649976069284497,0.7240628910284708,-11.117990923059484,ENSG00000005187,ACSM3
0.010457756395117474,2.1183209696300858,2.1917594729387186,0.03075681392970315,0.523079269875626,-10.151428014502207,ENSG00000005189,REXO5
0.0040485266417647076,4.4730851642939475,1.8178938865553507,0.07212474806168419,0.667035461748995,-10.878620776714119,ENSG00000005194,CIAPIN1
0.004534832246937516,5.617723734750862,0.7979076657376001,0.4268464796987532,1,-12.199830891774932,ENSG00000005206,SPPL2B
3.5030912251260676e-4,4.828757577865471,0.09854419612110511,0.9217007516327427,1,-12.515454962036143,ENSG00000005238,ATOSB
1.3897050412560943e-4,5.329541944959342,0.023590017664182058,0.9812274320664809,1,-12.520078496131516,ENSG00000005243,COPZ2
-0.004938134516542907,5.451095047283578,-0.832589462417409,0.4070935718890065,1,-12.171460926941537,ENSG00000005249,PRKAR2B
-0.005707017587080097,4.579253716244044,-1.4936573417945962,0.13846663606994838,0.7966135599121897,-11.406102297649975,ENSG00000005302,MSL3
-0.007298065832850824,6.779514163988948,-1.5458040026819517,0.1253637954412172,0.7726187855544855,-11.327884988879099,ENSG00000005339,CREBBP
-0.002785395950273556,5.560587010930662,-0.4337060164706956,0.6654518105878627,1,-12.425443563764073,ENSG00000005379,TSPOAP1
-0.00834140236656229,1.641281613734225,-0.5774396441052998,0.5649621135487108,1,-12.352230980973824,ENSG00000005381,MPO
0.006032331420313748,2.2071018675122045,0.3066085231873609,0.7597895599310172,1,-12.472899921588985,ENSG00000005421,PON1
