gene_symbol,pval_mac,logfc_mac,pval_nonmac,logfc_nonmac,meta_pval,avg_logfc,meta_fdr
ENSG00000266928,0.4764418384104374,0.00320055174136521,0.6541700491726642,0.00213771208579955,0.6750227505783434,0.00266913191358238,1
PPP4R1L,0.3658063349969667,-0.10728445892045148,0.852151283722195,0.0199851920726491,0.6750791214174598,-0.043649633423901185,1
CKMT2-AS1,0.6780072068041001,0.05255107957768235,0.4598172601494872,0.11197938425375,0.675122339173869,0.08226523191571616,1
PTPRE,0.8204886689541165,0.03669443442692319,0.37997008459390225,-0.14479777099903834,0.6751243587375346,-0.05405166828605758,1
ARAF,0.43481908633715194,0.04001933291528645,0.7170042350731878,-0.0216596898842759,0.6751313254978898,0.009179821515505275,1
ENSG00000261113,0.5440442914223313,0.00183498683906511,0.5730568350281345,0.00200541429425359,0.6751326930490513,0.00192020056665935,1
TANGO6,0.3320621223492767,0.05886832136088218,0.9390483152781052,0.00603955722093789,0.6751957146017742,0.03245393929091003,1
ENSG00000266373,0.5882066749676025,0.00101024484583591,0.5301685009121917,-0.00305834853578616,0.6752263317761884,-0.001024051844975125,1
HTRA3,0.6470927962995914,-0.10889846548384848,0.4819258906642412,-0.16796150432699158,0.6752288033596138,-0.13842998490542002,1
DNAJC9P1,0.5302159754553524,0.01138071391203812,0.5881723389506748,0.00838091852001822,0.6752376569604603,0.00988081621602817,1
TEDC2,0.69602496155534,-0.0420472651008309,0.44807508183555034,0.07495572401661098,0.6752528873008925,0.01645422945789004,1
RNA5SP21,0.5508724320193088,-0.0024570042253065,0.5661689881953529,-0.00257613217890861,0.6752708838732309,-0.002516568202107555,1
NANOS1,0.3515268053260868,-0.16534187335954262,0.8873033798619816,-0.02391833084785473,0.6752988864985071,-0.09463010210369867,1
CCNQ,0.49012955227360033,-0.06816602180501527,0.6363988098972393,0.04453245992339226,0.6753069732789206,-0.011816780940811504,1
FABP9,0.43887190442570234,0.00699889171959202,0.71075967361691,-0.00352082780027992,0.6753239679338984,0.00173903195965605,1
CYP2AC1P,0.4922768888658931,0.00243873145081048,0.633677270171112,0.00120588479751851,0.6753382077530796,0.001822308124164495,1
GOLGA8K,0.39020598467458145,0.01002076303667764,0.7995810929978255,-0.00384686995154575,0.6754041989081494,0.0030869465425659454,1
RAB44,0.96827722162175,-0.00451127466546409,0.3222628307443062,-0.14373021238916692,0.675448958574893,-0.0741207435273155,1
SAPCD1,0.41975858907929264,0.0036415381368391,0.7434265393973086,5.306174684133155e-4,0.6754721536249235,0.0020860778026262077,1
ZNF24,0.7971276094260513,0.02355726341293929,0.3914826397886203,0.07582897357370694,0.6754744193010774,0.04969311849332311,1
ENSG00000283228,0.3120997678518881,-0.00342396421343299,1,-0,0.6755188413103659,-0.001711982106716495,1
CLEC4A,0.49563729037132176,-0.05891617413247488,0.6297535203510274,-0.03823186259543192,0.675553261202978,-0.0485740183639534,1
MICD,0.879886910936561,0.00374433382016902,0.3547639968455939,0.01947468319202098,0.6755798874488417,0.011609508506094999,1
ENSG00000279523,0.6219082970598211,-0.00312354432219562,0.5019364249740133,0.00384962713319112,0.6755871407444497,3.630414054977501e-4,1
FAM193B,0.5280186509893106,-0.09263954342280668,0.5912374192983209,0.0896164748610983,0.6756173602660358,-0.001511534280854189,1
CAPZA1P3,0.46740304886713147,0.00508358721523823,0.6679464212435734,0.00121730668302781,0.6756357643440061,0.00315044694913302,1
EID2B,0.5073506765660971,-0.08311427077612706,0.6153550337940181,0.06356390094677133,0.6756364615928756,-0.00977518491467786,1
LINC01899,0.5645275759588226,0.00117315018372655,0.5530982960840334,0.0025687284335998,0.6756812164491278,0.001870939308663175,1
SNORD3A,0.4784901013946051,-0.07313188119340829,0.6525512139850429,0.0497059551904674,0.6756812818530089,-0.011712963001470442,1
ENSG00000273289,0.9198346678474502,-0.00219726128775712,0.3394519922006357,-0.02986895959001457,0.6756817636858345,-0.016033110438885844,1
ENSG00000224361,0.9944688762100032,-1.550722611461627e-4,0.3140099873282522,-0.0493893981592232,0.6757206956731698,-0.02477223521018468,1
MIR6878,0.5275240648077116,-0.01014540683869689,0.5919799888581565,-0.00647743714730755,0.6757329520397722,-0.00831142199300222,1
HNRNPA3P16,0.5345622099932295,0.00259954684013006,0.5841984321935292,-0.00338528194130615,0.6757407671524515,-3.928675505880451e-4,1
DDAH1,0.5432208673367251,-0.08152730157105496,0.5748947150670921,-0.0744057658718841,0.6757458888193796,-0.07796653372146953,1
SSB,0.4476345019983762,0.06690909334238745,0.6977334966127431,0.03783800958771669,0.6757863647385274,0.05237355146505207,1
KLF2P4,0.6674748866303382,6.6121616913287e-4,0.4679554013015713,0.00376269385276959,0.675808348889549,0.0022119550109512298,1
LINC00327,0.34771155306798684,0.09220286855302276,0.898338000964134,0.01050301263041533,0.6758246663133252,0.05135294059171905,1
WDR75,0.8653298788904344,0.01181944523968236,0.3609999618327163,-0.0686091867218047,0.675849742998128,-0.02839487074106117,1
GPRC5A,0.4581655020420275,-0.26927223358895835,0.6818254968171846,0.1470439698444905,0.6758554067546414,-0.061114131872233926,1
GEMIN8P2,0.6884872272318668,0.00130061811939576,0.4537438168180137,0.00377964130045485,0.6758645998211025,0.002540129709925305,1
MTCYBP28,0.4948405973628235,0.00564812212299521,0.6313513380687242,0.00169219620721686,0.6758895568710321,0.003670159165106035,1
IL37,0.6718647828347513,-0.00406407900602619,0.46502270760410136,-0.00380450671067182,0.6759059690224694,-0.003934292858349005,1
BLTP3B,0.5060587034104103,-0.06215564280241745,0.6173922647369561,-0.05915884543280771,0.6759110279303107,-0.06065724411761258,1
ENSG00000248752,0.5058305213186585,0.01347241367727365,0.6178248288578367,0.00391164151952625,0.6760016740037236,0.008692027598399949,1
ENSG00000278477,0.5084370105077036,0.00581405249866259,0.6146653134006685,-0.00436805173922292,0.676006255612058,7.230003797198347e-4,1
ENSG00000271357,0.5883686199016827,0.00142036148034667,0.5312622694930109,0.00255333255962795,0.6760754002706265,0.00198684701998731,1
ENSG00000282897,0.8556353175907252,0.00431065797315293,0.3653618901730221,0.02146295254077191,0.6761201563664584,0.01288680525696242,1
POM121B,0.3845282807717701,0.00968734309129869,0.8130378628872497,0.00335273861146055,0.6761428470026075,0.00652004085137962,1
IGLV7-43,0.6431258281984223,0.11317561657162752,0.4861333843762208,0.19702801304489773,0.6761531762359864,0.15510181480826263,1
TGM3,0.7481819536268902,0.03656852560477472,0.4179065173711769,0.04441267065636914,0.6761824507052671,0.04049059813057193,1
ENSG00000275598,0.8529352538019603,-0.00105518487355382,0.3666014117808577,0.00685042687390744,0.6762023931246558,0.00289762100017681,1
MIR298,0.49733580225812224,0.00174910803412551,0.6288397291735762,9.999395794524743e-4,0.6762689358327106,0.0013745238067889923,1
