gene_symbol,levene_pval_mac,var_ratio_mac,levene_pval_nonmac,var_ratio_nonmac,meta_pval,avg_var_ratio,meta_fdr
MIR320E,0.5811148298240884,0,1.9389073274141942e-6,27.31594593363699,1.655860909221036e-5,13.657972966818495,0.03967571014739566
ENSG00000269307,0.3837327920753748,0,3.141783373340531e-6,22.266325787619017,1.7636231925698985e-5,11.133162893809509,0.03967571014739566
USP32P4,0.38139652683307945,0,3.2397044625740956e-6,33.44097889025735,1.8044809064453903e-5,16.720489445128674,0.03967571014739566
TUBD1,9.835847864911023e-4,3.889658954065798,0.00131552496396027,4.049107738931067,1.8836813010836246e-5,3.9693833464984323,0.03967571014739566
UCA1-AS1,2.8434556254295743e-6,51.67489700163981,0.49011460134682305,1.5368849661496728,2.018463096450743e-5,26.605890983894742,0.040582118037367845
H3P16,0.218927355630612,1.5350051870274457,8.893187625686481e-6,5.71956065159982,2.754803394601681e-5,3.627282919313633,0.05297846250000937
ENSG00000230690,3.0135066511002507e-6,Inf,0.7420847998459228,0,3.133180822385546e-5,Inf,0.05774452255656561
ENSG00000226302,7.310932536832434e-6,9.596733410729737,0.3652307005363885,2.6219527588323204,3.6937535334057305e-5,6.109343084781028,0.06049510860961574
ENSG00000279886,0.3514680762218524,0.09775805201317056,7.737714319448571e-6,Inf,3.7570825861991676e-5,Inf,0.06049510860961574
RPE,0.00391587766068966,3.4260855860468498,7.266289556094926e-4,4.63958694312548,3.918048207455787e-5,4.032836264586165,0.06049510860961574
TNS2,0.00372524695287299,2.8683713590366646,7.741223689465265e-4,4.39629097554754,3.967067287159752e-5,3.6323311672921026,0.06049510860961574
ENSG00000265477,0.2259021034198424,2.0025406116985325,1.32399258183299e-5,18.10957656481094,4.1035301819813055e-5,10.056058588254736,0.06049510860961574
MARCKS,0.0360347000547427,2.460797815762698,8.519849137666433e-5,4.282222369137902,4.204136310741303e-5,3.3715100924503005,0.06049510860961574
ENSG00000201945,0.00142659844842308,15.596196521437165,0.00217174468799545,Inf,4.239800069854603e-5,Inf,0.06049510860961574
BTF3L4P3,0.01028389042765505,Inf,3.260288088815463e-4,23.787272167407863,4.5617801925313095e-5,Inf,0.06296550217612576
PAGE2,0.1513606356192878,3.60125529169337,2.286433271862497e-5,22.9366838251395,4.6976432714147004e-5,13.268969558416435,0.06296550217612576
ENSG00000261810,1.4427979957441174e-5,Inf,0.28206305641748297,0,5.4581337744550106e-5,Inf,0.06598286072712388
RN7SL408P,0.531413672448816,0,7.724388390724734e-6,Inf,5.501865121914757e-5,Inf,0.06598286072712388
IL1A,0.00206014231493135,20.82757140311528,0.00204919529708836,61.55167126424504,5.646557114731772e-5,41.18962133368016,0.06598286072712388
YKT6,0.1063161539266098,1.9993796085459108,3.9832366590155185e-5,3.7510883551414658,5.66287815389021e-5,2.8752339818436883,0.06598286072712388
RCBTB2P1,0.00195210504719709,22.786536092223905,0.00217174468799554,Inf,5.668630646660127e-5,Inf,0.06598286072712388
RNA5SP382,0.5817242615183785,0,7.72609887651138e-6,Inf,5.983323017274441e-5,Inf,0.06618308104843297
ENSG00000272986,0.00666871929543598,3.403073024032581,6.741760797045124e-4,4.419463369784606,5.985086005465091e-5,3.911268196908593,0.06618308104843297
TNS2-AS1,0.01038707437524059,2.706862208063405,5.074384894068995e-4,4.3818525845138465,6.932857952118192e-5,3.5443573962886257,0.07327800939942988
ANKRD62,0.3305327766322038,2.9711273840362957,1.6254145138078802e-5,Inf,7.056391836455588e-5,Inf,0.07327800939942988
ENSG00000270549,0.514486521552738,0.3409523848727124,1.0550363707623152e-5,28.582565610817152,7.123698689128876e-5,14.461758997844932,0.07327800939942988
EIF3CL,0.04632021304749432,6.970912209056711,1.2051045732455318e-4,17.251195646048203,7.310251524158024e-5,12.111053927552456,0.07348796486739949
PPIAP36,0.4250119119228984,0.1626890641675778,1.4157358120493956e-5,20.57943943118336,7.83474373100581e-5,10.371064247675468,0.07367504094638276
METTL9,0.11398961394219176,1.805763248839359,5.357071493545845e-5,3.244859334162236,7.942215777980293e-5,2.5253112915007976,0.07367504094638276
ENSG00000271649,0.6961870461189248,0,9.07824916768426e-6,Inf,8.198363049404989e-5,Inf,0.07367504094638276
STAMBPL1,0.01402385827843268,2.3438621514220266,4.656628812129784e-4,5.0146023587342246,8.44970058471467e-5,3.6792322550781256,0.07367504094638276
ATP5MGP4,2.0848173547081164e-4,18.16715944795916,0.03174289760233122,2.6671923114918266,8.554018376988367e-5,10.417175879725495,0.07367504094638276
ENSG00000260416,0.01320823550763391,7.893077041505893,5.054926127217791e-4,6.855561941818638,8.624176604331963e-5,7.374319491662265,0.07367504094638276
SLC30A4-AS1,0.01109529912799968,17.969928760088038,6.089115760532943e-4,40.8642635882528,8.718738512322844e-5,29.417096174170418,0.07367504094638276
RNU7-171P,4.676766252306656e-5,8.727324864286613,0.14602650763567826,2.403873159688711,8.805918281852921e-5,5.565599011987662,0.07367504094638276
ENSG00000223111,0.6961870461189088,0,9.972468075845816e-6,Inf,8.940687632472712e-5,Inf,0.07367504094638276
ENSG00000199357,0.5879342069350775,0,1.2244798464287608e-5,Inf,9.244806009313225e-5,Inf,0.07367504094638276
ENSG00000263154,0.3767211327517316,1.9381397431272915,1.911014380861323e-5,5.614951456364322,9.244876050217312e-5,3.776545599745807,0.07367504094638276
