ensembl_gene_id,gene_name,RPE1_baseline,K562_Ess_baseline,K562_GWPS_baseline
ENSG00000105327,BBC3,0.0617741,0.18907581,0.23726217
ENSG00000105329,TGFB1,1.2515986,1.347338,1.1513476
ENSG00000105341,DMAC2,0.29687783,0.5064498,0.40984026
ENSG00000105355,PLIN3,1.7823948,0.79183203,0.76197606
ENSG00000105364,MRPL4,1.221056,2.6971643,2.0232706
ENSG00000105371,ICAM4,,0.13790022,0.17617545
ENSG00000105372,RPS19,47.64583,56.361576,48.756866
ENSG00000105373,NOP53,1.4367961,2.6291554,2.7189927
ENSG00000105379,ETFB,2.3571048,2.5817971,2.023385
ENSG00000105383,CD33,,0.40309235,0.3955996
ENSG00000105393,BABAM1,1.2348428,1.2964396,0.9622642
ENSG00000105397,TYK2,0.11425425,0.18309787,0.15554966
ENSG00000105401,CDC37,2.5224729,2.541106,2.0244026
ENSG00000105402,NAPA,0.60487056,0.56053436,0.46929592
ENSG00000105404,RABAC1,3.7498903,0.41873744,0.37744674
ENSG00000105429,MEGF8,0.16461843,0.1576836,0.12173702
ENSG00000105438,KDELR1,2.5993288,1.6380582,1.3656893
ENSG00000105443,CYTH2,0.39260143,0.32352248,0.30727112
ENSG00000105447,GRWD1,0.5407564,1.0220939,0.6426553
ENSG00000105472,CLEC11A,,0.16972421,0.16452771
ENSG00000105483,CARD8,,0.14893658,0.120550014
ENSG00000105486,LIG1,0.46246964,0.6754182,0.5455585
ENSG00000105497,ZNF175,0.28790703,0.12901951,0.11183658
ENSG00000105518,TMEM205,0.45369434,0.3152745,0.30354193
ENSG00000105520,PLPPR2,0.16580753,0.12860787,0.10422175
ENSG00000105552,BCAT2,0.2850384,0.35807788,0.34426814
ENSG00000105556,MIER2,0.111880496,0.1738466,0.13875042
ENSG00000105568,PPP2R1A,1.2999232,1.1338207,0.8775578
ENSG00000105576,TNPO2,0.20733936,0.5247751,0.33819503
ENSG00000105583,WDR83OS,2.6320643,2.6155722,2.0609033
ENSG00000105607,GCDH,0.15850683,0.5972522,0.39276406
ENSG00000105610,KLF1,,0.7323891,0.67990327
