perturbation,spearman_rho,pvalue,target_gene
6846_PSMA6_P1P2_ENSG00000100902,0.1821242736955926,1.997910203393987e-22,PSMA6
8552_STX18_P1P2_ENSG00000168818,0.1813883512199953,2.9603978948871675e-22,STX18
4281_KAT8_P1_ENSG00000103510,0.18133892118484793,3.039447074908747e-22,KAT8
8605_SURF6_P1P2_ENSG00000148296,0.1812599464331503,3.1700986007137605e-22,SURF6
2083_DCUN1D5_P1P2_ENSG00000137692,0.18075069232035137,4.1565790685553606e-22,DCUN1D5
6851_PSMB3_P1P2_ENSG00000277791,0.18042585869820726,4.938645977563274e-22,PSMB3
9480_UBA3_P1P2_ENSG00000144744,0.1799790978709859,6.256808923896893e-22,UBA3
22_ABCB7_P1P2_ENSG00000131269,0.17997727507025948,6.262843361563021e-22,ABCB7
7434_RPL12_P1P2_ENSG00000197958,0.17982538826515282,6.7864249080272605e-22,RPL12
8223_SNRPA1_P1P2_ENSG00000131876,0.1797077429221593,7.221516058440323e-22,SNRPA1
6603_PPA1_P1P2_ENSG00000180817,0.17969869716607792,7.256090219512845e-22,PPA1
5476_NBAS_P1P2_ENSG00000151779,0.17940698402659086,8.463250772517138e-22,NBAS
6863_PSMC6_P1P2_ENSG00000100519,0.17938918968683418,8.542999974633555e-22,PSMC6
10700_ZNHIT2_P1P2_ENSG00000174276,0.17935708915576293,8.688749503204644e-22,ZNHIT2
2791_EXOSC4_P1P2_ENSG00000178896,0.17926077627752104,9.140968771566054e-22,EXOSC4
9909_XRCC6_P1P2_ENSG00000196419,0.1791548189993271,9.665389836928938e-22,XRCC6
9245_TRAPPC1_P1P2_ENSG00000170043,0.1786509887103289,1.2595500224525183e-21,TRAPPC1
3861_HNRNPC_P1P2_ENSG00000092199,0.17842412579079026,1.4186816375935405e-21,HNRNPC
5825_NSF_ENST00000398238.4_ENSG00000073969,0.17830217762780365,1.5122761583816896e-21,NSF
8222_SNRNP70_P1P2_ENSG00000104852,0.17801705386995206,1.755603131315839e-21,SNRNP70
3214_FTSJ3_P1P2_ENSG00000108592,0.17792116444895442,1.845836280395001e-21,FTSJ3
6748_PRIM2_P1P2_ENSG00000146143,0.1777435155368827,2.025288985823209e-21,PRIM2
9383_TTC27_P1P2_ENSG00000018699,0.17771578016215012,2.054821341241718e-21,TTC27
9814_WDR33_P1P2_ENSG00000136709,0.1775826952885932,2.202559034224523e-21,WDR33
4001_HYPK_P1P2_ENSG00000242028,0.17750286231302748,2.2961712291505328e-21,HYPK
7432_RPL10_P1P2_ENSG00000147403,0.17720383808748993,2.683103561290405e-21,RPL10
2988_FBL_P1P2_ENSG00000105202,0.17719942187983373,2.6892761477574406e-21,FBL
2429_DYNLRB1_P1_ENSG00000125971,0.17708335267909572,2.8566375608411154e-21,DYNLRB1
4088_IK_P1_ENSG00000113141,0.1770346814277413,2.92984417345718e-21,IK
1898_CSNK1A1_P1P2_ENSG00000113712,0.17699632899111242,2.988834167422876e-21,CSNK1A1
8232_SNRPF_P1P2_ENSG00000139343,0.17691054020763072,3.125070654353481e-21,SNRPF
9971_ZBTB14_P1P2_ENSG00000198081,0.17687391921673906,3.185079619126425e-21,ZBTB14
7659_SART3_P1P2_ENSG00000075856,0.17686137187765838,3.20590121856971e-21,SART3
2918_FAM32A_P1P2_ENSG00000105058,0.17684505480181595,3.233179885244668e-21,FAM32A
1773_COPE_P1P2_ENSG00000105669,0.17677708937673453,3.349293640003161e-21,COPE
6274_PHAX_P1_ENSG00000164902,0.1766328049188793,3.609632295260434e-21,PHAX
8424_SRRM1_P1P2_ENSG00000133226,0.17622345664666225,4.462162970193198e-21,SRRM1
8791_TCOF1_P1P2_ENSG00000070814,0.17610208939393077,4.751208149444617e-21,TCOF1
6850_PSMB2_P1P2_ENSG00000126067,0.17600206374144978,5.0032790970064724e-21,PSMB2
33_ABCF1_P1_ENSG00000204574,0.1759424121577713,5.1598508604449165e-21,ABCF1
1032_C1QBP_P1P2_ENSG00000108561,0.17561236109097716,6.117815639771054e-21,C1QBP
1778_COPS2_P1P2_ENSG00000166200,0.17511056694347438,7.920696637840276e-21,COPS2
9337_TSEN2_P1P2_ENSG00000154743,0.17494947477974632,8.604026513969519e-21,TSEN2
1410_CDC73_P1P2_ENSG00000134371,0.17474542750007865,9.553744110471118e-21,CDC73
7181_RBM4_P2_ENSG00000173933,0.1746756279892427,9.901835823464512e-21,RBM4
6557_POLR3C_P1P2_ENSG00000186141,0.17451119921887825,1.0772170014185224e-20,POLR3C
3102_FKBP9_P1P2_ENSG00000122642,0.17390424096944107,1.4690907857141656e-20,FKBP9
3658_HCFC1_P1P2_ENSG00000172534,0.17355476839263362,1.7555387809941843e-20,HCFC1
320_ANKLE2_P1P2_ENSG00000176915,0.17341515322617668,1.884826679964542e-20,ANKLE2
8233_SNRPG_P1P2_ENSG00000143977,0.17293894438686572,2.4007115125233755e-20,SNRPG
6870_PSMD2_P1P2_ENSG00000175166,0.17265637319488986,2.770404995662312e-20,PSMD2
5016_MFAP1_P1P2_ENSG00000140259,0.1723695024072147,3.2032064872846236e-20,MFAP1
2707_ERH_P1P2_ENSG00000100632,0.1719340733603348,3.99084803702933e-20,ERH
10297_ZNF335_P1P2_ENSG00000198026,0.17154621124420422,4.8518113845095736e-20,ZNF335
10994_non-targeting_non-targeting_non-targeting,0.17133219982212214,5.4029431835169545e-20,non-targeting
