perturbation,spearman_rho,pvalue,target_gene
2734_ESPN_P2_ENSG00000187017,0.058261247504679335,0.00041277932956072,ESPN
1659_CLK2_P1P2_ENSG00000176444,0.057981015078320285,0.00044015256704040803,CLK2
8166_SMG5_P1P2_ENSG00000198952,0.057496638012803566,0.0004914973678407267,SMG5
11322_non-targeting_non-targeting_non-targeting,0.05722565143630665,0.0005226051670089579,non-targeting
8840_TFB1M_P1P2_ENSG00000029639,0.05719645752649849,0.0005260637497435528,TFB1M
6769_PRKRA_P1P2_ENSG00000180228,0.05717481490750699,0.0005286414857091779,PRKRA
4376_KIF14_P1P2_ENSG00000118193,0.05667818515646711,0.0005911247263966482,KIF14
4995_METTL17_P1P2_ENSG00000165792,0.05665536973573141,0.0005941540725751165,METTL17
11209_non-targeting_non-targeting_non-targeting,0.056442857089423544,0.0006230727781888183,non-targeting
5317_MTHFD1_P1P2_ENSG00000100714,0.056271644286625844,0.0006473178437231785,MTHFD1
5257_MRPS27_P1P2_ENSG00000113048,0.0561900881142081,0.0006591726487404649,MRPS27
4473_KRT10_P2_ENSG00000186395,0.0557009970406052,0.0007346047995873178,KRT10
3790_HIST2H3A_P1P2_ENSG00000203852,0.055639581285547475,0.0007446237470013364,HIST2H3A
2334_DOLK_P1P2_ENSG00000175283,0.05464075806683482,0.0009264361244998375,DOLK
2036_DBF4_P1P2_ENSG00000006634,0.05463183555610919,0.0009282313726132755,DBF4
4185_IRF2BP2_P2_ENSG00000168264,0.05461313816127032,0.000932003824828654,IRF2BP2
8159_SMC4_P2_ENSG00000113810,0.05459815637700385,0.0009350368438006837,SMC4
1805_COX10_P1P2_ENSG00000006695,0.05449112893973517,0.0009569715660523111,COX10
10952_non-targeting_non-targeting_non-targeting,0.054171692673975896,0.0010253031967339182,non-targeting
1825_CPAMD8_ENST00000443236.1_ENSG00000160111,0.05396292086499977,0.0010723721194434545,CPAMD8
9638_USP19_P1P2_ENSG00000172046,0.05350602544300118,0.0011824343366029335,USP19
538_ARPC3_P2_ENSG00000111229,0.05255868228139033,0.0014446234694817561,ARPC3
6870_PSMD2_P1P2_ENSG00000175166,0.0524445263440889,0.0014796004431189005,PSMD2
3866_HNRNPH1_P1P2_ENSG00000169045,0.05232868288212679,0.0015158904244818873,HNRNPH1
452_ARFRP1_P1P2_ENSG00000101246,0.052288271799924096,0.001528741505528786,ARFRP1
4972_MEMO1_P1_ENSG00000162959,0.05218088318020909,0.001563381041417456,MEMO1
6853_PSMB5_P1P2_ENSG00000100804,0.05208306084188362,0.0015955621454722018,PSMB5
"1121_C7orf50_ENST00000357429.6,ENST00000397098.3,ENST00000397100.2_ENSG00000146540",0.051832962992378016,0.0016806293273250012,C7orf50
4478_KRT8_P1_ENSG00000170421,0.05173943065852985,0.0017135003874603376,KRT8
1774_COPG1_P1_ENSG00000181789,0.05153958208797434,0.001785724864110255,COPG1
8413_SRP14_P1P2_ENSG00000140319,0.05090942321872192,0.002032170296193478,SRP14
4503_LAMTOR1_P1P2_ENSG00000149357,0.05067520221830926,0.0021314588662917537,LAMTOR1
9702_VARS2_P1P2_ENSG00000137411,0.05049803565774295,0.002209493854538862,VARS2
9255_TREML2_P1P2_ENSG00000112195,0.050250738706218774,0.0023227986417510517,TREML2
3978_HSPA5_P1P2_ENSG00000044574,0.049814599085594984,0.002535668905656786,HSPA5
8857_TFRC_P1P2_ENSG00000072274,0.04949287858529071,0.002703964848295488,TFRC
9945_YRDC_P1P2_ENSG00000196449,0.04891462668712107,0.003032317775997744,YRDC
