perturbation,spearman_rho,pvalue,target_gene
9510_UBE2L3_P1P2_ENSG00000185651,0.05286187270834902,0.0046301954748877855,UBE2L3
8306_SP1_P1P2_ENSG00000185591,0.05283518537028124,0.004650965753889807,SP1
3282_GAPDH_P2_ENSG00000111640,0.0526595715558975,0.0047897588697161245,GAPDH
4478_KRT8_P1_ENSG00000170421,0.051122318010462076,0.006174137782825045,KRT8
7160_RBM15_P1P2_ENSG00000162775,0.051102300472195016,0.006194326365214394,RBM15
11312_non-targeting_non-targeting_non-targeting,0.05105130234461567,0.006246028996261056,non-targeting
538_ARPC3_P2_ENSG00000111229,0.05102437948814431,0.006273480087384905,ARPC3
9409_TUBA1C_P1P2_ENSG00000167553,0.05085164835797889,0.006452197284900471,TUBA1C
5004_METTL3_P1P2_ENSG00000165819,0.050539432343482016,0.006786884313159148,METTL3
2734_ESPN_P2_ENSG00000187017,0.050458850459282015,0.006875759976694307,ESPN
9563_UCHL5_P1P2_ENSG00000116750,0.0502152252375649,0.007150851034030559,UCHL5
204_AHCY_P1P2_ENSG00000101444,0.049954896012960666,0.007455680022348709,AHCY
4185_IRF2BP2_P2_ENSG00000168264,0.04982349861696294,0.00761391849572576,IRF2BP2
4405_KLC2_P1P2_ENSG00000174996,0.049649267392257224,0.007828378870782514,KLC2
8147_SMARCB1_P2_ENSG00000099956,0.04957027513011161,0.007927379953339463,SMARCB1
6319_PIAS1_P1P2_ENSG00000033800,0.04902607399676827,0.008640427716840057,PIAS1
1035_C1orf109_P1_ENSG00000116922,0.04867653569115043,0.00912811564896497,C1orf109
1920_CT45A5_P1P2_ENSG00000228836,0.048541801869215154,0.009322563611414423,CT45A5
10756_non-targeting_non-targeting_non-targeting,0.04788162496285745,0.010329723650129765,non-targeting
6448_PLEKHN1_P1P2_ENSG00000187583,0.04779462609234827,0.01046942264002864,PLEKHN1
5218_MRPL36_P1P2_ENSG00000171421,0.04724353286645613,0.011394019923285146,MRPL36
2384_DSTYK_P1P2_ENSG00000133059,0.04717909594685915,0.011506726547378462,DSTYK
5936_OLFML3_P1P2_ENSG00000116774,0.04706555115704547,0.011707736139033522,OLFML3
2898_FAM207A_P1P2_ENSG00000160256,0.046778432852576664,0.01222997884536978,FAM207A
10829_non-targeting_non-targeting_non-targeting,0.046748278358053605,0.012286006718427013,non-targeting
9793_WBP1_P1P2_ENSG00000239779,0.04648297730434228,0.01278882113240304,WBP1
784_BCAR1_P2_ENSG00000050820,0.04600435354904261,0.013742126874816627,BCAR1
5257_MRPS27_P1P2_ENSG00000113048,0.04600072005453556,0.013749597623913557,MRPS27
5993_OTOP1_P1P2_ENSG00000163982,0.04576704561253943,0.014237642740015821,OTOP1
8974_TMED2_P1P2_ENSG00000086598,0.04563531910119155,0.014519442235825448,TMED2
3291_GATA1_P1P2_ENSG00000102145,0.045469513127713655,0.01488112689305238,GATA1
10974_non-targeting_non-targeting_non-targeting,0.04519175401520739,0.015504821639086787,non-targeting
4991_METTL14_P1P2_ENSG00000145388,0.04480119888247463,0.016420650513849788,METTL14
3660_HCRTR1_P1P2_ENSG00000121764,0.04407640294941741,0.018246719940675536,HCRTR1
5247_MRPS17_P1P2_ENSG00000239789,0.043189110005643086,0.020722194830385822,MRPS17
6834_PSAT1_P1P2_ENSG00000135069,0.04297175906910678,0.021371461271057785,PSAT1
2274_DNAJA1_P1_ENSG00000086061,0.04253370501203057,0.022733991011696205,DNAJA1
10094_ZFP69B_P1P2_ENSG00000187801,0.042324241658450765,0.023411751051675655,ZFP69B
5567_NDUFS3_P1P2_ENSG00000213619,0.042240979035618235,0.023685993509848135,NDUFS3
8154_SMARCE1_P1P2_ENSG00000073584,0.04090076435778546,0.028498907580577583,SMARCE1
4376_KIF14_P1P2_ENSG00000118193,0.04085152829446097,0.028690699965705543,KIF14
8652_TAF11_P1P2_ENSG00000064995,0.04067061251826187,0.029405003275977247,TAF11
9438_TVP23C_P1P2_ENSG00000175106,0.039772304124007056,0.03318245731173315,TVP23C
9638_USP19_P1P2_ENSG00000172046,0.03896570344229583,0.036920618435388367,USP19
6485_PNISR_P2_ENSG00000132424,0.038877801157780695,0.03734886578934082,PNISR
4504_LAMTOR1_P1P2_ENSG00000149357,0.03857872788409004,0.03883769193879358,LAMTOR1
4503_LAMTOR1_P1P2_ENSG00000149357,0.038268823815909084,0.04043329948560371,LAMTOR1
457_ARHGAP11B_P1P2_ENSG00000284906,0.03751277362420669,0.044560524176190684,ARHGAP11B
8336_SPCS3_P2_ENSG00000129128,0.03741844443889925,0.045099559667933956,SPCS3
1221_CBLL1_P1P2_ENSG00000105879,0.03693297716514227,0.04796137723583438,CBLL1
1548_CHCHD1_P1P2_ENSG00000172586,0.036846355225814614,0.048487720028713044,CHCHD1
2364_DPY19L2_P1P2_ENSG00000177990,0.03666130490623692,0.049628401214032114,DPY19L2
10236_ZNF24_P1P2_ENSG00000172466,0.035818569190324716,0.055111450377794184,ZNF24
4043_IFITM3_P1P2_ENSG00000142089,0.035584122064840386,0.05672361619158424,IFITM3
10937_non-targeting_non-targeting_non-targeting,0.03534661879557916,0.0583966001471368,non-targeting
5146_MON1A_P1P2_ENSG00000164077,0.035186281630647444,0.05954902708738012,MON1A
