ensembl_gene_id,H2O2_vs_CTRL.log2FoldChange,H2O2_vs_CTRL.pvalue,PRG4_vs_CTRL.log2FoldChange,PRG4_vs_CTRL.pvalue,H2O2PRG4_vs_H2O2.log2FoldChange,H2O2PRG4_vs_H2O2.pvalue,hgnc_symbol
ENSG00000262660,1.02558074054999,0.0001024837835557,0.0282429656434012,0.915587491605193,-0.37518042158454,0.150399162405025,
ENSG00000262730,1.85441610243455,0.240585619585437,1.89687201926004,0.228050731805944,0.0037044434744106,0.99795709485473,
ENSG00000263020,,,,,,,
ENSG00000263620,0.507138690330518,0.81659887610496,-0.252639491809636,0.909651079694853,0.16790751023568,0.937184876537691,
ENSG00000263809,0.0,1.0,4.54480950387431,0.254548592210567,1.67523038721426,0.682221651616401,
ENSG00000264058,0.413582335365139,0.232299156987396,0.488701586376418,0.155235663351804,0.193736063766435,0.565498032014994,
ENSG00000264187,,,,,,,
ENSG00000264324,-0.265955472084898,0.370440288515896,-0.17134693081593,0.560251777835763,-0.103211104806387,0.728907623200096,
ENSG00000264545,0.656365469683898,0.0381713742378213,0.316548890809215,0.319603070185032,0.392539759359949,0.197908836034767,
ENSG00000264668,0.249111043102757,0.409356300256561,0.164364270364457,0.585605501562905,-0.0415994625133419,0.889496192518815,
ENSG00000264813,2.83412193253879,0.322977269809187,0.0,1.0,1.66427713048132,0.528526649489822,
ENSG00000265118,,,,,,,
ENSG00000265303,0.0031174447915918,0.998994548094307,1.69725092158149,0.459329679047477,3.72855344641307,0.0905418127768276,
ENSG00000265690,,,,,,,
ENSG00000266076,-1.48991492897996,0.36814960452797,-0.118969129449439,0.939550786948333,1.89506501809172,0.247381156409045,
ENSG00000266086,0.374945728997369,0.133518732231834,0.535846325244708,0.0317812487603863,0.607190853902486,0.0146199340534672,
ENSG00000266202,4.96255721158374,0.002177643915645,0.0,1.0,1.30195219998981,0.248837331811457,
ENSG00000266302,-0.296826550195091,0.0788651034708051,0.216277956258017,0.199156707506204,0.184910720727614,0.273330464971227,
ENSG00000266728,0.0,1.0,1.57304458051444,0.719317965972671,2.68264069530893,0.533067219335412,
ENSG00000266918,-1.27183426608687,0.122904147370791,-0.633569412090805,0.422387243054154,0.645366133563179,0.438617779929596,
ENSG00000266953,0.363713110458731,0.604967530493198,-0.334429684553716,0.64114742249421,-0.924692263199626,0.194294392117107,
