target_gene,prg4_mimetic_score
STARD7,-0.05117970612999613
PABPC1,-0.05129991514090902
ATP6V1C1,-0.051331719799904175
MBTPS1,-0.05136894619537405
CBLN1,-0.051431885225603144
ZNF253,-0.05174313450331018
GLRX5,-0.052330420828449346
SLC25A10,-0.052446464479701534
FOXL2,-0.05245776955969029
NISCH,-0.05249787158871394
PCM1,-0.05265662313648438
SPEN,-0.05273203480213311
UPF1,-0.05277960145944442
MOG,-0.05287883937858049
NUP93,-0.0529195565534662
AAAS,-0.053236924600881634
METTL1,-0.05331519638110642
HMGCR,-0.05349638011589714
NDUFB4,-0.05351712271549103
REXO2,-0.05364360436512518
DNAJC17,-0.05450292714335228
STRIP1,-0.05462172590843797
FASTKD5,-0.05529438906407366
HCFC1,-0.05557979627214351
RHPN1,-0.05560267058493358
ZFR,-0.05561372273860428
ZRANB2,-0.055859448911194966
CAMLG,-0.05598602499545981
OR4N2,-0.05626786548018031
SUMO2,-0.05678312591834381
NHLRC2,-0.05681461821663813
NSRP1,-0.05719464166020044
VPS37A,-0.057286288157699164
PRDM8,-0.057532156312426586
DNAJC8,-0.057590748708127644
SEC16A,-0.05780684816166155
NANOG,-0.05813524029651141
TAF6,-0.058202599924056055
MRPL9,-0.05827431345033089
ZNF317,-0.05854428092651589
ZNF506,-0.05863492760561972
DBR1,-0.059035476383087676
TERF1,-0.059834950058608956
FOXD4,-0.060218289940730654
INO80E,-0.0603832342209968
SRP54,-0.060452775090389856
GLMN,-0.06093211272721258
ZC3H8,-0.06106146472734482
SSBP1,-0.061260324577768296
CFL1,-0.06127611034983742
RBM15,-0.061336649551765834
LTB4R2,-0.06135657856069738
TRPM7,-0.06158193524954175
CACTIN,-0.06165825328952798
CRLS1,-0.061721028545013226
CIAO1,-0.0617226844529561
GTF3C3,-0.0619841554539301
MBTPS2,-0.062460168067226804
EEF1B2,-0.06327684205312772
SNIP1,-0.06388698585131497
MRPS31,-0.06394912846081466
SPCS3,-0.06426698254940483
METTL14,-0.06451612025556783
ELOVL1,-0.06509518086212858
TRMT10C,-0.06512063264598567
WDFY3,-0.06527565072394376
CMC4,-0.06555028445955999
ARID3A,-0.06569845503623842
STXBP4,-0.06575568440342737
PEF1,-0.06582916775354533
NPAT,-0.06630774132835858
ACIN1,-0.06734002080203395
