"gene","mean_control","mean_amd","var_control","var_amd","cv_control","cv_amd","f_stat","f_pvalue","levene_pvalue","extreme_freq_control","extreme_freq_amd","f_fdr","levene_fdr","var_fc","cv_diff"
"51",4.43971510442631,4.53308991801894,0.53027862831548,0.501352335547443,0.164020020507817,0.15619858368569,0.945450766401946,0.895718832232949,0.971913582707293,0.04,0.0714285714285714,0.982560735563955,0.998418181460295,-0.080928482588452,-0.00782143682212685
"52",8.27996229941612,8.11500382189182,0.269908829023027,0.207771689484095,0.062745145933999,0.0561699973517459,0.76978470928926,0.469470742246544,0.328189514451759,0.06,0.0714285714285714,0.875788949571241,0.985956148812927,-0.37747842570963,-0.00657514858225314
"53",2.77287221325417,2.68179446354088,0.233836548025447,0.330847557494552,0.17439184935953,0.214480747513702,1.41486675324401,0.287100226018674,0.491587965199859,0.02,0.107142857142857,0.790210974417953,0.99090443813819,0.500660022276662,0.040088898154172
"54",2.93832164638477,2.83426982878498,0.367061821887646,0.36043198220062,0.206191199726545,0.211821633678597,0.981938084290729,0.983626452602297,0.984884733690757,0.06,0.0357142857142857,0.996757780797983,0.999177537048134,-0.0262999664142996,0.00563043395205201
"55",2.0653693187966,1.901542978011,0.253099649536102,0.195298047013295,0.243583485360725,0.232403452858069,0.771625118293328,0.473657551813006,0.503568246194458,0.06,0,0.876938526576422,0.99090443813819,-0.37403368756352,-0.0111800325026556
"56",3.7453769857124,3.46997576710144,0.250688680401272,0.268448193167444,0.133681622704758,0.149315081478051,1.07084289860135,0.814955089653668,0.51050555205709,0.04,0.0357142857142857,0.969613466963304,0.99090443813819,0.0987410855521613,0.0156334587732936
"57",4.16502920620575,3.8164263067608,0.278874910257115,0.290567944337547,0.126790456754578,0.141242974786655,1.04192931543985,0.878063289513324,0.745970132367782,0.02,0.107142857142857,0.980306423948946,0.994918038680559,0.0592522351400242,0.0144525180320772
"58",7.13589908533461,6.96245667487292,1.00359447108525,0.540030719517482,0.14038812363275,0.105547187335005,0.538096547038083,0.0856386046983392,0.0899916127141464,0.08,0,0.584680935440988,0.985956148812927,-0.894064483356502,-0.0348409362977452
"59",2.02788006591786,1.82854150557016,0.23528272123586,0.172075031738451,0.239195242231374,0.226857879832213,0.731354307849722,0.385019214256717,0.559426491360219,0.04,0.0357142857142857,0.837883750015138,0.99090443813819,-0.451363731061328,-0.0123373623991607
"60",2.07660631389037,2.04798479054215,0.226148222439803,0.225542592433956,0.229003547444672,0.231892842940953,0.997321977598085,0.980069839079948,0.583799965474221,0.06,0,0.996179305214224,0.99090443813819,-0.00387513166481709,0.00288929549628136
"61",7.34669775375725,7.06282358162033,0.182539590022998,0.115134725239748,0.0581548986409397,0.0480424055021725,0.630738379686527,0.199378838120698,0.314336739986609,0.1,0,0.728600549985479,0.985956148812927,-0.664894276157738,-0.0101124931387672
"62",3.02379728842844,2.95635824056294,0.216699318664295,0.244871124961579,0.153948675233229,0.167383090481274,1.13000412955117,0.694336459581681,0.713317165185312,0.06,0.0714285714285714,0.943261053414619,0.994918038680559,0.176321387342842,0.0134344152480448
"63",1.97059462440891,2.04643185280069,0.191900191888542,0.221301790383703,0.222300372470592,0.229876705579318,1.15321297079389,0.650366341754469,0.508536665421722,0.04,0,0.934107055697233,0.99090443813819,0.205651450862799,0.00757633310872644
"64",3.50457675282941,3.55035335563616,0.20115970616855,0.277995857442399,0.127977846090129,0.14850718317814,1.38196591522891,0.320340530407456,0.566544928428036,0.08,0.0714285714285714,0.807665764250216,0.99090443813819,0.466714861701352,0.0205293370880109
"65",2.1971625451746,2.26319605742774,0.181648387035312,0.278127162485685,0.193978406892027,0.233023291649067,1.53112927136324,0.192708324427403,0.43549355512684,0.02,0.0714285714285714,0.721977588167524,0.988685402141073,0.614588150731828,0.0390448847570402
"66",3.35756408990101,3.24438464520658,0.350173651117283,0.356369975579878,0.176245197411404,0.1840001099186,1.01769500487208,0.932836802944694,0.803659571312996,0.08,0.0714285714285714,0.988736593783477,0.996739229084981,0.0253011419822157,0.00775491250719648
"67",3.93839901025312,4.04281699227349,0.29760529539797,0.493318168423121,0.138516179135015,0.173731818423285,1.65762564057684,0.122873139793024,0.291908314561842,0.02,0.0714285714285714,0.64463195540806,0.985956148812927,0.729113376613931,0.0352156392882708
"68",2.60475467047909,2.59445714339029,0.261234048867681,0.371704691277301,0.196222090675643,0.234991607748955,1.42287995339219,0.279474770057526,0.309029826021743,0.04,0.0714285714285714,0.78555875191455,0.985956148812927,0.508808426012393,0.0387695170733117
"69",6.40329467569484,6.14147552481414,0.41109142544738,0.410419233462775,0.100130331297742,0.104313629442014,0.998364860118713,0.977627774372376,0.342446836642698,0.06,0.0357142857142857,0.995773619947524,0.985956148812927,-0.00236444837906475,0.00418329814427169
"70",2.38430359742574,2.26688993626562,0.26656423084776,0.238008535680121,0.216540532392485,0.215211582102172,0.892874992729433,0.766243157399531,0.9646845973745,0.04,0.0357142857142857,0.959022370248596,0.998283466352342,-0.163475302593535,-0.00132895029031299
"71",3.37801971252429,3.77936086396831,1.05133429138404,0.785342916933037,0.303534532401951,0.23448290672393,0.746996386752649,0.418665483084385,0.262395025179619,0.04,0.0357142857142857,0.853792374315324,0.985956148812927,-0.420828202472599,-0.0690516256780211
"73",5.1079298424603,4.71687878189922,0.630058034585887,0.607119151340058,0.155397943964322,0.165189393540173,0.963592428019896,0.939709298711801,0.941345015585239,0.06,0.107142857142857,0.989964402584565,0.998283466352342,-0.0535073278494577,0.00979144957585087
