"gene","agilent_id","gene_symbol","P.Value_mac","logFC_mac","adj.P.Val_mac","P.Value_extra","logFC_extra","adj.P.Val_extra","meta_p","meta_logFC","meta_fdr"
120,120,"PRRG2",0.719429140538004,-0.0584690701780132,0.979463145036686,0.593933294988205,-0.103972862544212,0.970133736443168,0.790613896489721,-0.0812209663611126,0.982648662996555
121,121,"SLC8A3",0.527218073688973,-0.089323774350062,0.964946142531378,0.341485805220227,0.14704002601135,0.945503023630583,0.488727998237244,0.028858125830644,0.960485928207323
123,123,"",0.151431843564841,-0.240472237206228,0.932337304308334,0.900670891922902,0.0219818092766194,0.995152963511818,0.408111689226521,-0.109245213964804,0.951415228922805
124,124,"",0.486307041911481,-0.111321590397283,0.963769568130646,0.469502446173464,0.127168422019135,0.958955367707551,0.565553731543118,0.007923415810926,0.965907277180924
125,125,"C2orf53",0.429593535777137,-0.102126589069025,0.959715814077399,0.117022312196826,-0.242803684458476,0.889154479811327,0.200600800658635,-0.17246513676375,0.914518141420234
126,126,"ORMDL3",0.441609975380871,-0.0901713257531109,0.960629275041912,0.98149175586506,-0.0029384539960329,0.999376679818649,0.7957937797159,-0.0465548898745719,0.982648662996555
127,127,"FAM134A",0.472372696499087,-0.0780455036153972,0.963736986610101,0.457105448429891,-0.114128408241178,0.958269604519381,0.546898726849781,-0.0960869559282876,0.965004738196842
128,128,"",0.177424724909814,-0.223265564064107,0.932337304308334,0.241195458874019,-0.202424997348839,0.927453177052974,0.177653306989214,-0.212845280706473,0.911040253665919
129,129,"TUT1",0.219809591958469,-0.16062082261543,0.936706131060764,0.126245133651707,0.233786822395176,0.892094003191278,0.127220024841717,0.036582999889873,0.890188677266627
130,130,"POTEC",0.633757683655437,-0.0591503783858951,0.970713576652037,0.522231146601158,0.0964874220586897,0.964628657751174,0.696930435158763,0.0186685218363973,0.975530467193172
131,131,"",0.87512707617905,-0.0361858353467179,0.989879206389374,0.397885769885229,-0.219435157666642,0.9541090896417,0.71554407123786,-0.12781049650668,0.977443238990528
132,132,"SERPINB5",0.221856568626112,-0.164535853957779,0.937833916114195,0.24979060109578,-0.19072068321802,0.929698379223424,0.215733097785783,-0.177628268587899,0.916822448171564
133,133,"ASPA",0.625175975316509,-0.108498830600765,0.970713576652037,0.11137077207303,-0.398894985223928,0.883667931767851,0.255153520560481,-0.253696907912347,0.925911235239638
134,134,"ATP8B1",0.95851501014866,0.00975378909235707,0.996822691150258,0.206620426445756,-0.189696058538912,0.921216811520912,0.518737666034816,-0.0899711347232775,0.96058062972819
136,136,"CYP2E1",0.0312489806156109,0.283073132063065,0.932337304308334,0.195743716815491,0.242336360612097,0.920460189177099,0.0372923508724629,0.262704746337581,0.81070327983615
137,137,"",0.185197226081502,0.165787822341169,0.932337304308334,0.762432886742733,-0.042075175257529,0.986354800770544,0.41761089915768,0.06185632354182,0.952698640538592
138,138,"UBE2I",0.139145690494762,-0.163086389524318,0.932337304308334,0.959180451285198,-0.00630251975013592,0.998724044244072,0.402253963882184,-0.084694454637227,0.949209051650481
140,140,"C6orf81",0.79128493503589,0.0338614009585751,0.985799794686454,0.635452284893475,-0.0787129262534635,0.974000660982933,0.848522954140703,-0.0224257626474442,0.987048737324741
142,142,"GATAD2A",0.336061451033303,-0.128561425570279,0.951775998682726,0.967426305378658,0.0062428424557545,0.998763751681705,0.690406162421004,-0.0611592915572622,0.975260597113146
143,143,"ZYG11B",0.423895050169598,0.0919857012628422,0.95954628526836,0.209561874245567,0.209347545185832,0.921216811520912,0.303895596224356,0.150666623224337,0.936388792118342
144,144,"RPL18",0.137460486577372,-0.18008538309821,0.932337304308334,0.969310912903907,0.00551933608472229,0.999017796360345,0.401802908989078,-0.0872830235067439,0.949209051650481
145,145,"CEBPG",0.0260712286765459,-0.293715833577667,0.932337304308334,0.744989866753718,0.0485354794233275,0.984671598676398,0.0959740347745233,-0.12259017707717,0.874659941537275
146,146,"YARS",0.0508833003991299,-0.333384262203639,0.932337304308334,0.190471417380892,0.282203900762993,0.919326758640158,0.0546276560130229,-0.025590180720323,0.84564813440472
147,147,"C3orf21",0.267165527997424,-0.150763809904691,0.942780878045783,0.805882789319032,0.0364430017460401,0.98952960934056,0.545947432729935,-0.0571604040793254,0.964965725804758
148,148,"",0.26939943573292,-0.19792467933134,0.942780878045783,0.424645835152581,-0.133916799422427,0.956508640970495,0.362423987727117,-0.165920739376884,0.944327035320784
150,150,"C1orf150",0.596292001116021,0.0686788321271407,0.969862539492046,0.941028469711908,0.0137900422156272,0.997920335577832,0.885351112459822,0.0412344371713839,0.99140661901896
151,151,"FLJ36848",0.929321660692252,-0.0114145618744804,0.99386194294979,0.0543326050135012,0.304170657668203,0.850561416669171,0.201259494815723,0.146378047896861,0.914518141420234
152,152,"C10orf79",0.968858173114522,0.00642324171953543,0.996822691150258,0.191997702345174,0.244400357899007,0.919465255316787,0.498884789370608,0.125411799809271,0.96058062972819
153,153,"MASP1",0.792376512631044,0.0391102542556161,0.985828946950098,0.785444547890353,-0.0509653155391534,0.988041188706301,0.917509579705663,-0.00592753064176865,0.993561678719599
155,155,"RHOF",0.696845438321267,-0.0573885117768361,0.978513496730812,0.867469189244072,-0.0338511367508397,0.993519330818756,0.90877320324216,-0.0456198242638379,0.993561678719599
156,156,"C5orf24",0.0987619730918377,-0.2724832864745,0.932337304308334,0.506157033278388,0.146518010097545,0.96290758149462,0.199753861042796,-0.0629826381884775,0.914518141420234
