"gene","P.Value_mac","logFC_mac","adj.P.Val_mac","P.Value_extra","logFC_extra","adj.P.Val_extra","meta_p","meta_logFC","meta_fdr"
190,0.904798322822474,-0.0206761685511058,0.99617957613581,0.286266911473039,0.191747981461078,0.991236084654385,0.608908820586344,0.0855359064549861,0.981612463672106
192,0.506485640924923,0.102400679619161,0.974215029797597,0.43414888407456,0.152497042881466,0.99327312253652,0.552941785906007,0.127448861250314,0.979032522254334
193,0.16279722117318,-0.305790616220668,0.933048070137976,0.417840325583826,-0.147818046461472,0.99309461845979,0.250863316402103,-0.22680433134107,0.974688714097658
194,0.867118883368908,0.0333049375184619,0.995250240156931,0.775953306005044,0.0674801779401173,0.996270076660835,0.93945280685611,0.0503925577292896,0.997784335987344
195,0.618748124144092,-0.0979780804959139,0.979346441891781,0.0472697453276852,-0.436268397238837,0.991236084654385,0.132550534552551,-0.267123238867375,0.974688714097658
196,0.870890199088989,-0.0269766781538078,0.995250240156931,0.362390957975101,-0.198468312153079,0.991236084654385,0.679578222690443,-0.112722495153443,0.985048463827036
197,0.720505108930148,0.0509307283106678,0.987936420216504,0.0356109260986004,0.34069040655472,0.991236084654385,0.119640150644155,0.195810567432694,0.974688714097658
198,0.159489595630455,-0.234164228980073,0.933048070137976,0.822859483519537,-0.0406949542966846,0.996270076660835,0.397747662943437,-0.137429591638379,0.974688714097658
199,0.101691212346962,0.247983156471981,0.933048070137976,0.251455404860275,0.260983965861953,0.991236084654385,0.119321149753772,0.254483561166967,0.974688714097658
200,0.147580455201923,-0.191171376082423,0.933048070137976,0.834725826793274,-0.0301490701709615,0.996270076660835,0.38115159680077,-0.110660223126692,0.974688714097658
201,0.537517465120723,0.120004074217945,0.97561922896555,0.390521664315606,-0.167091655164676,0.99309461845979,0.537599007443549,-0.0235437904733655,0.97870236634515
202,0.587981574023551,0.0828642315108227,0.977972781574839,0.141502916097977,0.22896486096282,0.991236084654385,0.290080213264996,0.155914546236821,0.974688714097658
203,0.704958113345229,-0.0533686697663997,0.987319319965536,0.416061449605182,-0.151264139857019,0.99309461845979,0.653057073524638,-0.102316404811709,0.983006365190578
204,0.57451731618081,0.0847486178001395,0.976810136278258,0.670405472164173,0.0707468176680145,0.993712648026315,0.752639360533058,0.077747717734077,0.990456630923746
205,0.304529669575466,0.21494545265514,0.943924594142238,0.266521662330984,0.268143460430884,0.991236084654385,0.284989193992845,0.241544456543012,0.974688714097658
206,0.164227251769645,0.613488231316705,0.933048070137976,0.505388862823019,0.232432389759056,0.99327312253652,0.289576492991251,0.422960310537881,0.974688714097658
207,0.830146772289824,-0.034519641191857,0.994540941262659,0.643481604155953,0.077610292073904,0.993325859273056,0.869125454216706,0.0215453254410235,0.995242985107319
208,0.0495941187352694,-0.332484909997214,0.933048070137976,0.945883057707103,0.0139434212223791,0.99852846686056,0.190433014023642,-0.159270744387417,0.974688714097658
210,0.614570343249278,-0.0909438593874892,0.979346441891781,0.734418451256508,0.0645110846104837,0.995486586533491,0.810405857371508,-0.0132163873885027,0.993789443198227
