"gene","agilent_id","gene_symbol","P.Value_mac","logFC_mac","adj.P.Val_mac","P.Value_extra","logFC_extra","adj.P.Val_extra","meta_p","meta_logFC","meta_fdr"
128,128,"",0.26133002820985,-0.155469185298826,0.80391140130581,0.208981505648672,-0.165571200941454,0.847628636188642,0.213399802155927,-0.16052019312014,0.76407229834888
129,129,"TUT1",0.391524211546673,-0.0920624582071232,0.859944209622054,0.160440234334003,0.176515638954744,0.82491176094053,0.236662789497737,0.0422265903738104,0.781676220335491
130,130,"POTEC",0.849606179558986,0.0197673013284205,0.978200579216164,0.894287645443675,0.0156013660704655,0.990077660690273,0.968514976528782,0.017684333699443,0.994686538456999
131,131,"",0.783170947336653,0.0512298400211784,0.965772381521972,0.627922117490157,-0.105306735129439,0.958498798039275,0.840801136596911,-0.0270384475541303,0.969439631367905
132,132,"SERPINB5",0.0915796123818216,-0.177375948943992,0.687756635738792,0.0900357071911612,-0.221000129156225,0.775849015441627,0.0478078208980543,-0.199188039050109,0.592533820948658
133,133,"ASPA",0.410487396769181,-0.144508252753994,0.867170655802975,0.0965738752030247,-0.328012810296394,0.781645146682943,0.167602226200024,-0.236260531525194,0.734948017523001
134,134,"ATP8B1",0.935749575961032,-0.0127576374239591,0.991222760671204,0.34057361306291,-0.117507378081563,0.902726297564768,0.683125472308418,-0.0651325077527611,0.934395699584658
136,136,"CYP2E1",0.056857091890302,0.217314974365131,0.650792976806428,0.0377314211679798,0.306889149860457,0.705400400329403,0.0153270372185575,0.262102062112794,0.485075366908437
137,137,"",0.383789022147109,0.0874467433352109,0.85785227082007,0.229430949780448,0.150213737594303,0.860216255781475,0.302005815158884,0.118830240464757,0.813843578829222
138,138,"UBE2I",0.193052631149922,-0.113852662933658,0.766100734855296,0.470446029690474,0.0731392269277115,0.929152036453381,0.308687920193088,-0.0203567180029732,0.81639502359458
140,140,"C6orf81",0.792495754827951,0.0283415607616074,0.967943360504664,0.325640602624235,-0.127890486565773,0.898176970581761,0.607630483309099,-0.0497744629020828,0.918242962503153
142,142,"GATAD2A",0.524076483233166,-0.0694715973291075,0.905598508558174,0.628022844794179,0.0622698951283785,0.958498798039275,0.694895208703083,-0.0036008511003645,0.937720025247693
143,143,"ZYG11B",0.112316765763451,0.159694147931804,0.709473772802575,0.136612242037109,0.200488604522224,0.812022011013416,0.0794357133445159,0.180091376227014,0.644784857778857
144,144,"RPL18",0.26377496383407,-0.120452124933484,0.805108438488666,0.355330585627373,0.114219984943816,0.908088321455422,0.315614131661777,-0.00311606999483401,0.81760228151148
145,145,"CEBPG",0.0217544898795866,-0.248330706819513,0.586151266777008,0.182457045588229,0.162457833165595,0.836141724531719,0.025915995273623,-0.042936436826959,0.524498446966282
146,146,"YARS",0.205109127919956,-0.179433392028506,0.775025291290014,0.431224995774984,0.133266794432218,0.922766899292915,0.302964957317297,-0.023083298798144,0.814181715389439
147,147,"C3orf21",0.343893199153795,-0.103497613740763,0.84118029786771,0.748319517022849,0.0391679899458245,0.97627808781065,0.606644983798088,-0.0321648118974692,0.917658780258084
148,148,"",0.446522523455485,-0.10643582664456,0.8793613267532,0.23119108728945,-0.157349736424987,0.86202539987667,0.33764885185483,-0.131892781534774,0.824558682460295
150,150,"C1orf150",0.826789590493871,0.0230305302312837,0.974175644986237,0.658763711376056,-0.0633444734193555,0.963618391873264,0.875591272995789,-0.0201569715940359,0.975029717312683
151,151,"FLJ36848",0.971786834335337,-0.00377862271500957,0.996321691724664,0.0261590282323164,0.295513411477986,0.68140855468864,0.11877147670683,0.145867394381488,0.691282889659757
152,152,"C10orf79",0.73411105132392,0.0446455506542513,0.955352970067466,0.498548542108628,0.101042909324291,0.936188919702917,0.733864575080944,0.0728442299892711,0.946636464189315
153,153,"MASP1",0.606309964483471,0.0622441012809672,0.928637922366256,0.52820292994802,-0.0902022987053799,0.943574203587649,0.684909082851267,-0.0139790987122063,0.934905970260355
