perturbation_id,target_gene
11164_non-targeting_non-targeting_non-targeting,non-targeting
11165_non-targeting_non-targeting_non-targeting,non-targeting
11166_non-targeting_non-targeting_non-targeting,non-targeting
11175_non-targeting_non-targeting_non-targeting,non-targeting
11178_non-targeting_non-targeting_non-targeting,non-targeting
1117_C7orf26_P1P2_ENSG00000146576,C7orf26
11182_non-targeting_non-targeting_non-targeting,non-targeting
11186_non-targeting_non-targeting_non-targeting,non-targeting
1118_C7orf26_P1P2_ENSG00000146576,C7orf26
11195_non-targeting_non-targeting_non-targeting,non-targeting
1119_C7orf26_P1P2_ENSG00000146576,C7orf26
111_ACTR1B_P1P2_ENSG00000115073,ACTR1B
11205_non-targeting_non-targeting_non-targeting,non-targeting
11207_non-targeting_non-targeting_non-targeting,non-targeting
11208_non-targeting_non-targeting_non-targeting,non-targeting
11209_non-targeting_non-targeting_non-targeting,non-targeting
1120_CYREN_P1P2_ENSG00000122783,CYREN
11215_non-targeting_non-targeting_non-targeting,non-targeting
11218_non-targeting_non-targeting_non-targeting,non-targeting
"1121_C7orf50_ENST00000357429.6,ENST00000397098.3,ENST00000397100.2_ENSG00000146540",C7orf50
11221_non-targeting_non-targeting_non-targeting,non-targeting
11227_non-targeting_non-targeting_non-targeting,non-targeting
11231_non-targeting_non-targeting_non-targeting,non-targeting
11232_non-targeting_non-targeting_non-targeting,non-targeting
11234_non-targeting_non-targeting_non-targeting,non-targeting
11235_non-targeting_non-targeting_non-targeting,non-targeting
11238_non-targeting_non-targeting_non-targeting,non-targeting
11240_non-targeting_non-targeting_non-targeting,non-targeting
11247_non-targeting_non-targeting_non-targeting,non-targeting
11256_non-targeting_non-targeting_non-targeting,non-targeting
11257_non-targeting_non-targeting_non-targeting,non-targeting
11261_non-targeting_non-targeting_non-targeting,non-targeting
11265_non-targeting_non-targeting_non-targeting,non-targeting
11270_non-targeting_non-targeting_non-targeting,non-targeting
11271_non-targeting_non-targeting_non-targeting,non-targeting
11272_non-targeting_non-targeting_non-targeting,non-targeting
11273_non-targeting_non-targeting_non-targeting,non-targeting
11285_non-targeting_non-targeting_non-targeting,non-targeting
11289_non-targeting_non-targeting_non-targeting,non-targeting
11294_non-targeting_non-targeting_non-targeting,non-targeting
11297_non-targeting_non-targeting_non-targeting,non-targeting
1129_SPOUT1_P1P2_ENSG00000198917,SPOUT1
112_ACTR2_P1P2_ENSG00000138071,ACTR2
11312_non-targeting_non-targeting_non-targeting,non-targeting
11315_non-targeting_non-targeting_non-targeting,non-targeting
