perturbation_id,target_gene
10316_ZNF365_P1P2_ENSG00000138311,ZNF365
10317_ZNF366_P1P2_ENSG00000178175,ZNF366
10318_ZNF367_P1P2_ENSG00000165244,ZNF367
10319_ZNF37A_P1P2_ENSG00000075407,ZNF37A
1031_C1GALT1_P1P2_ENSG00000106392,C1GALT1
10320_ZNF382_P1P2_ENSG00000161298,ZNF382
10321_ZNF383_P1P2_ENSG00000188283,ZNF383
10322_ZNF384_P1P2_ENSG00000126746,ZNF384
10323_ZNF385A_P1_ENSG00000161642,ZNF385A
10324_ZNF385A_P2_ENSG00000161642,ZNF385A
10325_ZNF385B_P1P2_ENSG00000144331,ZNF385B
10326_ZNF385C_ENST00000436535.3_ENSG00000187595,ZNF385C
10327_ZNF385D_P1P2_ENSG00000151789,ZNF385D
10328_ZNF391_P1P2_ENSG00000124613,ZNF391
10329_ZNF394_P1P2_ENSG00000160908,ZNF394
1032_C1QBP_P1P2_ENSG00000108561,C1QBP
10330_ZNF395_P1P2_ENSG00000186918,ZNF395
10331_ZNF396_P1P2_ENSG00000186496,ZNF396
10332_ZNF397_P1P2_ENSG00000186812,ZNF397
10333_ZNF398_P1P2_ENSG00000197024,ZNF398
10334_ZNF3_P1P2_ENSG00000166526,ZNF3
10335_ZNF404_P1P2_ENSG00000176222,ZNF404
10336_ZNF407_ENST00000299687.5_ENSG00000215421,ZNF407
10337_ZNF408_P1P2_ENSG00000175213,ZNF408
10338_ZNF410_P1P2_ENSG00000119725,ZNF410
10339_ZNF414_P1P2_ENSG00000133250,ZNF414
1033_C1QTNF4_P1P2_ENSG00000172247,C1QTNF4
10340_ZNF415_P1P2_ENSG00000170954,ZNF415
10341_ZNF416_P1P2_ENSG00000083817,ZNF416
10342_ZNF417_P1P2_ENSG00000173480,ZNF417
10343_ZNF418_P1P2_ENSG00000196724,ZNF418
10344_ZNF419_P1P2_ENSG00000105136,ZNF419
10345_ZNF41_P1P2_ENSG00000147124,ZNF41
10346_ZNF420_P1P2_ENSG00000197050,ZNF420
10347_ZNF423_ENST00000561648.1_ENSG00000102935,ZNF423
10348_ZNF423_ENST00000262383.2_ENSG00000102935,ZNF423
10349_ZNF425_P1P2_ENSG00000204947,ZNF425
1034_C1RL_P1P2_ENSG00000139178,C1RL
10350_ZNF426_P1P2_ENSG00000130818,ZNF426
10351_ZNF428_P1P2_ENSG00000131116,ZNF428
10352_ZNF429_P1P2_ENSG00000197013,ZNF429
10353_ZNF430_P1P2_ENSG00000118620,ZNF430
10354_ZNF431_P1P2_ENSG00000196705,ZNF431
10355_ZNF432_P1P2_ENSG00000256087,ZNF432
10356_ZNF433_P1P2_ENSG00000197647,ZNF433
10357_ZNF436_P1_ENSG00000125945,ZNF436
10358_ZNF436_P2_ENSG00000125945,ZNF436
10359_ZNF438_P2_ENSG00000183621,ZNF438
1035_C1orf109_P1_ENSG00000116922,C1orf109
10360_ZNF438_P1_ENSG00000183621,ZNF438
10361_ZNF439_P1P2_ENSG00000171291,ZNF439
10362_ZNF43_P1_ENSG00000198521,ZNF43
10363_ZNF43_P2_ENSG00000198521,ZNF43
10364_ZNF440_P1P2_ENSG00000171295,ZNF440
10365_ZNF441_P1P2_ENSG00000197044,ZNF441
10366_ZNF442_P1P2_ENSG00000198342,ZNF442
10367_ZNF443_P1P2_ENSG00000180855,ZNF443
10368_ZNF444_P1P2_ENSG00000167685,ZNF444
10369_ZNF445_P1P2_ENSG00000185219,ZNF445
1036_C1orf109_P2_ENSG00000116922,C1orf109
10370_ZNF446_P1P2_ENSG00000083838,ZNF446
10371_ZNF449_P1P2_ENSG00000173275,ZNF449
10372_ZNF44_P1P2_ENSG00000197857,ZNF44
10373_ZNF451_P1P2_ENSG00000112200,ZNF451
10374_ZNF454_P1P2_ENSG00000178187,ZNF454
10375_ZNF45_P1P2_ENSG00000124459,ZNF45
10376_ZNF460_P1P2_ENSG00000197714,ZNF460
10377_ZNF461_P1P2_ENSG00000197808,ZNF461
10378_ZNF462_P1P2_ENSG00000148143,ZNF462
10379_ZNF467_P1P2_ENSG00000181444,ZNF467
1037_C1orf112_P1P2_ENSG00000000460,C1orf112
10380_ZNF468_P1P2_ENSG00000204604,ZNF468
10381_ZNF469_ENST00000437464.1_ENSG00000225614,ZNF469
10382_ZNF470_P1P2_ENSG00000197016,ZNF470
10383_ZNF471_P1P2_ENSG00000196263,ZNF471
