pathway,NES_H2O2,Padj_H2O2,NES_Rescue,Padj_Rescue
BARIS_THYROID_CANCER_DN,0.9087001551972302,0.8336502631904977,-1.123450733931269,0.5511574232416971
BARIS_THYROID_CANCER_UP,-0.7632415247665769,0.9393981247632277,0.9292002196108062,0.7592078575577119
BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN,1.0515389195256255,0.7076997658047645,-1.4795766353440398,0.2288974705751359
BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP,0.8061858722751026,0.9054391893536146,1.053851369298694,0.6272826229580909
BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP,-1.2650190566617072,0.4955216394543362,-1.1270610234915985,0.5679066162937131
BARRIER_COLON_CANCER_RECURRENCE_DN,0.5869994176556506,0.9846728530871428,-1.3765817076388787,0.3226048498311153
BARRIER_COLON_CANCER_RECURRENCE_UP,-1.5373120819912927,0.18544238689068518,-0.8719134474910708,0.808617064219985
BASAKI_YBX1_TARGETS_DN,-1.3451653987552281,0.024762349421001,1.1428583300822421,0.3766845770993294
BASAKI_YBX1_TARGETS_UP,-1.3154275837642944,0.12341723761923401,-1.3098169783607447,0.23818880820162325
BASSO_B_LYMPHOCYTE_NETWORK,-0.7885211220006098,0.9927040322010571,-1.1052535287951473,0.5383730302208564
BASSO_CD40_SIGNALING_DN,1.3812770969282757,0.3334397870924817,-0.7112324256749353,0.94505503374989
BASSO_CD40_SIGNALING_UP,1.2662723879604818,0.4039067546143157,-1.3364735714832288,0.3047677240864267
BASSO_HAIRY_CELL_LEUKEMIA_UP,-0.9842563504582821,0.7333940608489707,-1.7974721175963972,0.02298212562425653
BAUS_TFF2_TARGETS_UP,1.2133768113985166,0.5308914079297208,-0.6649941604240113,0.9332054394852273
BEAUCHAMP_MISS_54_MYRISTOYLATION_INHIBITION_SENSITIVE_SIGNATURE,1.3239784270412718,0.4037226959930415,-1.2877902011860678,0.3870144648795929
BECKER_TAMOXIFEN_RESISTANCE_DN,-1.5748651806190663,0.1644001493582408,1.287081329876673,0.32094796886325677
BECKER_TAMOXIFEN_RESISTANCE_UP,1.0068608308564886,0.7540239340345104,-1.1142519991727173,0.5627534518864231
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN,0.868154303417582,0.871920003827568,-1.9309920576728572,0.01500022561142442
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP,-1.6688996017244144,0.06094899991653855,1.288507441267054,0.3226048498311153
BEIER_GLIOMA_STEM_CELL_DN,0.9371329425175235,0.8165008620588546,-1.7078677805084368,0.09387889544767207
BEIER_GLIOMA_STEM_CELL_UP,0.5379618959981419,0.9999452106473868,0.5264211343305171,1
BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE,0.8785886999148743,0.8594385317473393,0.9995331509183215,0.6650252274880473
BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS,-0.8232676756238088,0.8935009721162602,1.4463372402108887,0.25070848810015134
BENPORATH_ES_1,-1.375204502268522,0.013645077120321567,1.4333480164854846,0.05382018736441628
BENPORATH_ES_2,1.473056187354147,0.2637337192474674,1.5145564234619426,0.16747226443106158
BENPORATH_ES_CORE_NINE_CORRELATED,-1.3843630985923003,0.1657695538785801,-0.8547246396799166,0.8368831063866524
BENPORATH_MYC_TARGETS_WITH_EBOX,0.8271658733520648,0.9488508374846495,-1.0900978959092065,0.5363366175920725
BENPORATH_NOS_TARGETS,-1.6424375718370963,0.00937701683190883,1.0568840048526547,0.5739590009288431
