gene,n_appearances,appears_in
SNRNP40,2,Age_RPE1; Redox_RPE1
RBBP6,2,Age_RPE1; Age_K562_GWPS
ZSCAN1,2,AMD-Macula_K562_GWPS; Senescence_K562_GWPS
ATXN7L3,2,AMD-nonMacula_K562_GWPS; Redox_K562_GWPS
FOXS1,2,Redox_RPE1; AMD-Macula_K562_GWPS
SS18L2,2,AMD-Macula_RPE1; Redox_RPE1
SOD1,2,Age_RPE1; AMD-nonMacula_RPE1
DDN,2,Senescence_RPE1; Inflammation_RPE1
NPM3,2,Senescence_RPE1; Inflammation_RPE1
GRB10,2,AMD-Macula_K562_GWPS; AMD-nonMacula_K562_GWPS
C12ORF60,2,Age_RPE1; AMD-nonMacula_K562_GWPS
NONO,2,AMD-Macula_K562_GWPS; AMD-nonMacula_K562_GWPS
MEAF6,2,AMD-Macula_K562_GWPS; Inflammation_K562_GWPS
NFE4,2,AMD-Macula_K562_GWPS; Senescence_K562_GWPS
PITX2,2,AMD-Macula_K562_GWPS; AMD-nonMacula_K562_GWPS
PIAS1,2,AMD-Macula_RPE1; AMD-nonMacula_RPE1
PEF1,2,AMD-nonMacula_RPE1; Inflammation_RPE1
ACTR1A,2,Senescence_RPE1; Inflammation_RPE1
EIF2B3,2,Age_RPE1; Redox_RPE1
PEG3,2,AMD-Macula_K562_GWPS; Redox_K562_GWPS
TWF1,2,AMD-Macula_RPE1; Senescence_RPE1
USP14,2,AMD-Macula_RPE1; Senescence_RPE1
IARS,2,Age_K562_GWPS; Redox_K562_GWPS
CHAF1B,2,Redox_RPE1; Redox_K562_GWPS
PARS2,2,Senescence_RPE1; Inflammation_RPE1
SRP68,2,AMD-nonMacula_RPE1; Redox_RPE1
TKT,2,Inflammation_RPE1; Age_K562_GWPS
NDUFB4,2,Inflammation_RPE1; Inflammation_K562_GWPS
LSM6,2,Redox_RPE1; Age_K562_GWPS
ZFHX3,2,AMD-nonMacula_K562_GWPS; Redox_K562_GWPS
NPB,2,Senescence_RPE1; Inflammation_RPE1
MED20,2,AMD-nonMacula_RPE1; Age_K562_GWPS
GSK3B,2,Senescence_RPE1; Inflammation_RPE1
HARS,2,Redox_RPE1; Age_K562_GWPS
GOLGA6L1,2,Age_RPE1; Redox_RPE1
RGP1,2,Inflammation_RPE1; Redox_K562_GWPS
MIOS,2,Redox_RPE1; Inflammation_K562_GWPS
KEAP1,2,Age_RPE1; Redox_RPE1
ATP5ME,2,AMD-Macula_RPE1; Inflammation_RPE1
NAE1,2,Senescence_RPE1; Age_K562_GWPS
PLD3,2,Senescence_K562_GWPS; Redox_K562_GWPS
PSMC6,2,AMD-Macula_RPE1; AMD-nonMacula_RPE1
ZNF407,2,AMD-Macula_RPE1; Senescence_RPE1
DSN1,2,AMD-nonMacula_RPE1; Age_K562_GWPS
TREML2,2,AMD-Macula_RPE1; Senescence_RPE1
DDX28,2,AMD-Macula_K562_GWPS; AMD-nonMacula_K562_GWPS
C1ORF109,2,AMD-Macula_RPE1; Redox_RPE1
VPS25,2,Age_RPE1; Redox_RPE1
PGK1,2,Age_RPE1; Inflammation_K562_GWPS
ZMYM4,2,AMD-Macula_RPE1; AMD-nonMacula_RPE1
NAT10,2,AMD-nonMacula_RPE1; Inflammation_RPE1
IGBP1,2,Redox_RPE1; Age_K562_GWPS
ZNF658,2,Senescence_RPE1; Redox_RPE1
MRPS2,2,AMD-nonMacula_RPE1; Inflammation_RPE1
CHCHD3,2,Redox_RPE1; AMD-nonMacula_K562_GWPS
UBE2L3,2,Senescence_RPE1; Senescence_K562_GWPS
PPA2,2,AMD-Macula_RPE1; Senescence_RPE1
SLC52A2,2,AMD-nonMacula_K562_GWPS; Redox_K562_GWPS
SRRM1,2,Age_RPE1; Redox_RPE1
SCMH1,2,AMD-Macula_K562_GWPS; Inflammation_K562_GWPS
HMBOX1,2,Age_RPE1; Age_K562_GWPS
SNAPC4,2,AMD-Macula_RPE1; Senescence_RPE1
USPL1,2,Inflammation_RPE1; Age_K562_GWPS
NCBP2,2,Age_RPE1; Age_K562_GWPS
CRTAP,2,Senescence_K562_GWPS; Redox_K562_GWPS
CCNC,2,Senescence_RPE1; Age_K562_GWPS
MEN1,2,Inflammation_RPE1; AMD-Macula_K562_GWPS
WDR70,2,Age_RPE1; Redox_RPE1
GEMIN5,2,Age_RPE1; Age_K562_GWPS
NUP93,2,Age_RPE1; Redox_RPE1
DGCR8,2,Age_RPE1; Age_K562_GWPS
HSD17B10,2,AMD-Macula_RPE1; AMD-nonMacula_RPE1
CUL3,2,AMD-nonMacula_RPE1; Redox_RPE1
CCNA2,2,Age_RPE1; Inflammation_K562_GWPS
BET1,2,Age_RPE1; Age_K562_GWPS
PRPF19,2,AMD-nonMacula_RPE1; Redox_RPE1
BTAF1,2,Age_RPE1; Senescence_RPE1
H3F3A,2,Age_RPE1; Inflammation_RPE1
FDPS,2,AMD-Macula_RPE1; Senescence_RPE1
RBM39,2,Age_RPE1; Redox_RPE1
TTC27,2,Age_RPE1; Age_K562_GWPS
DNAJA1,2,Age_RPE1; Redox_RPE1
SATB2,2,Senescence_K562_GWPS; Redox_K562_GWPS
MYO1H,2,Senescence_RPE1; Redox_RPE1
EEF2,2,AMD-nonMacula_RPE1; Inflammation_RPE1
EIF5,2,Redox_RPE1; Inflammation_RPE1
VPS28,2,AMD-nonMacula_RPE1; Redox_RPE1
LSM7,2,Age_RPE1; Age_K562_GWPS
ZDHHC7,2,Inflammation_RPE1; Age_K562_GWPS
HIST1H2BC,2,AMD-nonMacula_K562_GWPS; Senescence_K562_GWPS
HSPA8,2,Age_RPE1; AMD-Macula_RPE1
MBTPS2,2,Redox_RPE1; Age_K562_GWPS
CSH2,2,AMD-Macula_RPE1; Senescence_RPE1
HES5,2,AMD-Macula_K562_GWPS; Redox_K562_GWPS
INTS2,2,Redox_RPE1; Age_K562_GWPS
MRPL3,2,Senescence_RPE1; Redox_RPE1
KANSL2,2,Redox_RPE1; Age_K562_GWPS
DNAJB9,2,AMD-Macula_K562_GWPS; AMD-nonMacula_K562_GWPS
NDUFB6,2,Inflammation_RPE1; AMD-Macula_K562_GWPS
