pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,perturbation_id,target_gene
AMD-nonMacula-DOWN,0.688461538461539,0.745833333333333,-0.203948600368623,-0.886671889267603,178,75,SFRP1|CTSD|GTF3A|ALDH1A3|SOX9|VEPH1|LOXL1-AS1|GSTT2B|CDKN3|ST3GAL6-AS1|RPS10,10023_ZC3H18_P1P2_ENSG00000158545,ZC3H18
Senescence-PRO,0.192554557124519,0.357601320374106,0.296072066334425,1.14789924562429,149,108,CXCL8|PLAUR|UBB|EDN1|PLAU|CDKN2D|UBC|JUN|ANGPTL4|UBE2D1|FBXO5|RB1|GEM|FZR1|ESM1|CEBPB|CDKN2C|SPP1|MAP3K3|UBE2C|CDK2|SIRT1|ANAPC5|NFKB1|RPS6KA3|SERPINE2|SIRT6|GLB1|CDC27|LMNB1|TERF2|HMGB1|CDC23|RPS6KA2,10023_ZC3H18_P1P2_ENSG00000158545,ZC3H18
Senescence-ANTI,0.00111982082866741,0.00742009132420091,0.387719682651914,1.70023996338137,0,300,MT2A|ODC1|DTYMK|LYAR|KIF22|PLK4|POLD3|KNL1|POP7|NUSAP1|STMN1|KIF5B|SNRPD1|ATAD2|PHF5A|PRMT5|FBXO5|SLC38A1|KIF11|JPT1|EIF2S1|MXD3|INCENP|KIF4A|RAD21|NEK2|POLQ|NUMA1|DCK|KIF2C|TTK|STIL|ANP32E|SMC3|USP1|HMGA1|SPC25|TBRG4|HNRNPD|BUB3|CUL1|RAD51AP1|NOLC1|MAD2L1|PLK1|HMGB2|DEK|DR1|BRMS1L|RFC3|PCNA|DIAPH3|CDCA8|TROAP|CDKN2C|TK1|ATRX|G3BP1|DDX39A|SNRPB|BARD1|MCM2|SPAG5|CHEK1|PRPF4B|CENPM|CDC6|RACGAP1|NBN|UCK2|LIG3|UBE2C|CCP110|CDK1|KIF23|CTCF|ARID4A|MKI67|SMC4|BUB1B|CTPS1|CSE1L|CKS2|POLE4|EZH2|SSRP1|PSIP1|HELLS|DSCC1|DLGAP5|TMPO|CDC27|TNPO2|LMNB1|DCTPP1|PAFAH1B1|DBF4|MRE11|PBK|BRCA2|SRSF10|LBR|UNG|RAD23B|NDC80|PPM1D|POLD1|CENPE|NUP50|PRC1|SLC7A5|POLE|CHAF1A|CENPF|LIG1|TFDP1|XRCC6|BIRC5|CIT|RBM14|NUP98|EXO1|ATF5|CUL4A|AURKA|ORC2|PURA|GINS2|TRIP13|EXOSC8|PRIM2|CDC20,10023_ZC3H18_P1P2_ENSG00000158545,ZC3H18
Redox-PRO,0.177906976744186,0.357601320374106,0.269452141613109,1.15487780497748,152,232,JUNB|ATP6V1G1|POLR2F|NDUFS3|GLRX|UQCRFS1|ATP5F1D|SUCLG1|VDAC1|HCCS|ATP5F1B|IDH3B|CDKN2D|COX5A|DLST|UQCRC1|NDUFAB1|SLC25A4|TIMM50|SOD1|ATP6V0B|NDUFA2|ATP6V0E1|SCAF4|SDHD|COX7A2|IMMT|PRDX1|VDAC3|NDUFA4|MDH1|SELENOS|FH|ATP6V0C|NDUFA6|MSRA|PRNP|EGLN2|MRPL15|COX8A|UQCRQ|ATP1B1|ATP6V1F|NDUFV2|HMOX2|FXN|NDUFS8|ATP6AP1|UQCRB|SOD2|FTL|GRPEL1|NDUFA9|IDH3A|SDHB|GLRX2|ECHS1|ECI1|OXSR1|ATP5PO|ACADVL|COX4I1|ATP5F1C|CYB5A|RHOT1|COX7A2L|SLC25A11|MRPS11|ETFA|COX6B1|CYCS|GLUD1|ATP6V1H|HSPA9|UQCR10|VDAC2|PDHB,10023_ZC3H18_P1P2_ENSG00000158545,ZC3H18
Redox-ANTI,0.0150753768844221,0.0653266331658291,0.750585134680926,1.76672896281739,8,10,CXCL8|HMOX1|SOD1,10023_ZC3H18_P1P2_ENSG00000158545,ZC3H18
Inflammation-PRO,0.00114155251141553,0.00742009132420091,0.447706782586533,1.94478483821902,0,268,CXCL8|EGR1|SERPINB2|TIMP1|FOSL1|G0S2|KLF6|JUNB|IER3|SQSTM1|PLAUR|PHLDA2|BTG1|TFPI2|IER2|SAT1|DUSP5|RHOB|DUSP1|PPP1R15A|KLF2|EDN1|LIF|SERPINB8|STAT1|RIPK2|PLAU|JUN|LDLR|LYN|BHLHE40|CALM3|HMOX1|CALM1|IRF1|LITAF|TNIP2|TGIF1|HSPA1A|TUBB2A|ANXA5|DUSP6|BTG3|GEM|VCPIP1|NFKBIA|GADD45B|TRIP10|IER5|TPBG|SELENOS|CEBPB|MAP2K3|GADD45A|LAP3|GNB2,10023_ZC3H18_P1P2_ENSG00000158545,ZC3H18
Inflammation-ANTI,0.313953488372093,0.507862407862408,0.339010255992394,1.09974253949699,215,39,GPS2|METRNL|CYLD|LYN|CCN3|RB1|SELENOS|VPS35|SLC39A8|OTULIN,10023_ZC3H18_P1P2_ENSG00000158545,ZC3H18
Age-UP,0.752293577981651,0.814984709480122,-0.186508759523187,-0.883352466059547,81,141,COL8A1|SLC9A3R1|CTSD|FADS1|GOT2|SFRP1|DENND1A|NETO2|GPC1|DHCR7|EZR|EXOSC1|ALDH1A3|APLP2|FAP|NOC4L|PI4K2A|STK11|TMEM214|TOMM34|LSR|NSFL1C|SRA1|WWC1|SLC19A1|RDH11|CYB561|RAB7A|CHN1|FADS2,10024_ZC3H3_P1P2_ENSG00000014164,ZC3H3
Age-DOWN,0.730722154222766,0.814984709480122,0.239397705129456,0.793434834720276,596,80,DNAJB4|TPM1|NR3C1|PRPF38B|MEST|MAPK1|CLK1|AGPAT4|DMTF1|CNTNAP3|FANCL|KRAS|STK38L|MLLT3,10024_ZC3H3_P1P2_ENSG00000014164,ZC3H3
ARE,0.00925925925925926,0.0822784810126582,-0.301685910012484,-1.46038043711904,0,151,VIM|PRDX2|FTL|PRDX1|GSTP1|TXN|GCLM|NRP1|FTH1|HSPA1B|NQO1|NT5C|TXNRD1|UTP25|ENTR1|HMOX1|SIVA1|PIK3R3|FJX1|FDXR|LPCAT4|PSME1|CITED2|SNHG32|RPL38|STAT6|CHEK1|PDGFC|CDKN2C|NME3|PGD|G6PD|PBXIP1|GSR|SLC7A11|DKK1|NAGLU|RASSF7|PLK1|PRDX3|PPP2CB|SOD1|TRPT1|TK1|FAS|PLAT|SLC2A8|UNG|PRDX6|UBE2C,10024_ZC3H3_P1P2_ENSG00000014164,ZC3H3
AMD-Macula-UP,0.185714285714286,0.301785714285714,0.397567402392171,1.25287818122583,142,57,TPM1|YIPF4|KCNK6|SLIT3|SHC3|LPP|MSRB1|SNX1|CCPG1|MGST1|TTC9C|ARSK|EIF4G3|MYL9|TAGLN|TRHDE|PCMTD1|STK17B|HEATR3|DTWD1|SMAD9|PRKCI|HDAC1|STK38|FLNA|MED28|PHACTR2,10024_ZC3H3_P1P2_ENSG00000014164,ZC3H3
AMD-Macula-DOWN,0.0248175182481752,0.0822784810126582,0.616961215389669,1.76388687627681,16,32,SNHG4|TMEM87A|TRAFD1|AMTN,10024_ZC3H3_P1P2_ENSG00000014164,ZC3H3
AMD-nonMacula-UP,0.944444444444444,0.944444444444444,0.194091614698793,0.660492562849792,815,129,GATD1|PNMA1|CDK19|ARHGEF28|SCD5|SHC3|GOLGA3|P4HA2|PEX6|AGPAT4|P3H4|PDE4DIP|PCDH9|ABI2|AP2A2|PNMA2|UBR2|RBFOX2|PTPRF|TAF8|PLA2R1|NDRG3|ITSN1,10024_ZC3H3_P1P2_ENSG00000014164,ZC3H3
AMD-nonMacula-DOWN,0.173645320197044,0.301785714285714,0.383778217652697,1.26182343709455,140,75,SNHG4|SGK3|TAX1BP1|PIP4K2C|DAAM1|FUCA2,10024_ZC3H3_P1P2_ENSG00000014164,ZC3H3
Senescence-PRO,0.0253164556962025,0.0822784810126582,-0.323228760385039,-1.4840948112884,3,108,YBX1|AXL|MIF|CD9|NAP1L4|HMGB1|UBB|BEX3|CDK4|ICAM3|EHMT2|RB1|STAT3|SERPINE2|CDC26|MAPK3|ANAPC15|SPP1|CDKN2C|PIGF|FZR1|DKK1|CDC16|TWIST1|IGFBP3|ESM1|IGFBP6|PLAUR|FAS|PLAT|SCAMP4|UBE2C,10024_ZC3H3_P1P2_ENSG00000014164,ZC3H3
