Perturbation,Gene_Target,Axis_Score
964_C12orf45_P1P2_ENSG00000151131,C12orf45,0.05950003
7577_RSL24D1_P1P2_ENSG00000137876,RSL24D1,0.059328284
2129_DDX54_P1_ENSG00000123064,DDX54,0.05931388
2328_DOHH_P1P2_ENSG00000129932,DOHH,0.058197692
8741_TBP_P1P2_ENSG00000112592,TBP,0.057843868
5809_NRBP1_P1P2_ENSG00000115216,NRBP1,0.057661578
3567_GTF2A2_P1P2_ENSG00000140307,GTF2A2,0.05700792
7468_RPL37_P1P2_ENSG00000145592,RPL37,0.056838352
5726_NOB1_P1P2_ENSG00000141101,NOB1,0.056835875
7426_RPF1_P1P2_ENSG00000117133,RPF1,0.056605373
1443_CDK9_P1P2_ENSG00000136807,CDK9,0.056529168
8651_TAF10_P1P2_ENSG00000166337,TAF10,0.055831663
6219_PES1_P1P2_ENSG00000100029,PES1,0.055708203
5598_NELFA_P1P2_ENSG00000185049,NELFA,0.0556867
7569_RRS1_P1P2_ENSG00000179041,RRS1,0.05549314
2125_DDX49_P1P2_ENSG00000105671,DDX49,0.055329584
5747_NOP16_P1P2_ENSG00000048162,NOP16,0.05504096
2127_DDX51_P1P2_ENSG00000185163,DDX51,0.05500429
9174_TOP1_P1P2_ENSG00000198900,TOP1,0.054769628
1470_CEBPZ_P1P2_ENSG00000115816,CEBPZ,0.05404099
8_AAMP_P1P2_ENSG00000127837,AAMP,0.05398838
6867_PSMD13_P1P2_ENSG00000185627,PSMD13,0.05394433
6154_PDCD2_P1P2_ENSG00000071994,PDCD2,0.053907663
7427_RPF2_P1P2_ENSG00000197498,RPF2,0.053580612
2114_DDX27_P1P2_ENSG00000124228,DDX27,0.05316033
4107_IMP3_P1P2_ENSG00000177971,IMP3,0.052878354
8662_TAF2_P1P2_ENSG00000064313,TAF2,0.052709978
3594_GTPBP4_P1P2_ENSG00000107937,GTPBP4,0.051944792
5702_NLE1_P1P2_ENSG00000073536,NLE1,0.051868014
2456_EBNA1BP2_P1P2_ENSG00000117395,EBNA1BP2,0.051826965
6902_PTCD3_P1P2_ENSG00000132300,PTCD3,0.05162365
9804_WDR12_P1P2_ENSG00000138442,WDR12,0.050945196
8650_TADA3_P1P2_ENSG00000171148,TADA3,0.050768513
2209_DHX33_P1P2_ENSG00000005100,DHX33,0.050416056
7713_SDAD1_P1P2_ENSG00000198301,SDAD1,0.04987316
8576_SUGP1_P1P2_ENSG00000105705,SUGP1,0.049544446
8648_TADA2A_P1P2_ENSG00000276234,TADA2A,0.048359215
4684_LSG1_P1P2_ENSG00000041802,LSG1,0.048127145
10922_non-targeting_non-targeting_non-targeting,non-targeting,0.047071368
1301_CCDC86_P1P2_ENSG00000110104,CCDC86,0.04544144
3586_GTF3C3_P1P2_ENSG00000119041,GTF3C3,0.045104593
5736_NOL7_P1P2_ENSG00000225921,NOL7,0.044919748
140_ADAT3_P2_ENSG00000213638,ADAT3,0.044838935
5730_NOC3L_P1P2_ENSG00000173145,NOC3L,0.044678602
2544_EIF3A_P1P2_ENSG00000107581,EIF3A,0.04443839
7456_RPL28_P1P2_ENSG00000108107,RPL28,0.044396084
1483_CENPJ_P1P2_ENSG00000151849,CENPJ,0.04432611
5449_NAF1_P1P2_ENSG00000145414,NAF1,0.04406089
5340_MTPAP_P1P2_ENSG00000107951,MTPAP,0.043876696
8791_TCOF1_P1P2_ENSG00000070814,TCOF1,0.04359054
3447_GNL3_P1P2_ENSG00000163938,GNL3,0.0434371
2135_DDX6_P1P2_ENSG00000110367,DDX6,0.043429017
4985_METAP2_P1P2_ENSG00000111142,METAP2,0.04309356
5601_NELFE_P1P2_ENSG00000204356,NELFE,0.042419758
4940_MED18_P1P2_ENSG00000130772,MED18,0.042105045
4208_ISG20L2_P1P2_ENSG00000143319,ISG20L2,0.042053547
9409_TUBA1C_P1P2_ENSG00000167553,TUBA1C,0.041868318
7435_RPL13A_P1_ENSG00000142541,RPL13A,0.041866113
6557_POLR3C_P1P2_ENSG00000186141,POLR3C,0.041606896
1962_CUL3_P1P2_ENSG00000036257,CUL3,0.041518748
2580_EIF6_P1P2_ENSG00000242372,EIF6,0.04135797
5602_NEMF_P1P2_ENSG00000165525,NEMF,0.04096665
4099_ILF2_P1P2_ENSG00000143621,ILF2,0.04067393
