Perturbation,Gene_Target,Axis_Score
2105_DDX18_P1P2_ENSG00000088205,DDX18,0.05162902
8124_PRELID3B_P1P2_ENSG00000101166,PRELID3B,0.05125568
7499_RPS11_P1P2_ENSG00000142534,RPS11,0.051146448
2124_DDX47_P1P2_ENSG00000213782,DDX47,0.051017396
7537_RPS7_P1P2_ENSG00000171863,RPS7,0.050940778
8791_TCOF1_P1P2_ENSG00000070814,TCOF1,0.050819967
2542_EIF2S2_P1P2_ENSG00000125977,EIF2S2,0.050620813
5735_NOL6_P1P2_ENSG00000165271,NOL6,0.050612997
8658_TAF1C_P1P2_ENSG00000103168,TAF1C,0.050383456
1333_CCNK_P1_ENSG00000090061,CCNK,0.05019099
10139_ZMAT5_P1P2_ENSG00000100319,ZMAT5,0.050157856
3572_GTF2F2_P1P2_ENSG00000188342,GTF2F2,0.049624987
8817_TEN1_P1P2_ENSG00000257949,TEN1,0.049561143
6098_PAXBP1_P1P2_ENSG00000159086,PAXBP1,0.04951333
6576_POP5_P1P2_ENSG00000167272,POP5,0.049448583
7463_RPL35_P1P2_ENSG00000136942,RPL35,0.049418066
6865_PSMD11_P1P2_ENSG00000108671,PSMD11,0.049390085
6792_PRPF19_P1P2_ENSG00000110107,PRPF19,0.049333874
2988_FBL_P1P2_ENSG00000105202,FBL,0.0492189
7525_RPS3_P1_ENSG00000149273,RPS3,0.049142655
1221_CBLL1_P1P2_ENSG00000105879,CBLL1,0.049013454
6553_POLR2L_P1P2_ENSG00000177700,POLR2L,0.049007516
7513_RPS24_P1P2_ENSG00000138326,RPS24,0.04885764
4470_KRI1_P1P2_ENSG00000129347,KRI1,0.048707634
8818_TERF1_P1P2_ENSG00000147601,TERF1,0.04867305
7608_RUVBL2_P1P2_ENSG00000183207,RUVBL2,0.04847592
7510_RPS20_P1P2_ENSG00000008988,RPS20,0.048360314
7501_RPS13_P1P2_ENSG00000110700,RPS13,0.048332345
7660_SASS6_P1P2_ENSG00000156876,SASS6,0.048304558
9219_TPX2_P1P2_ENSG00000088325,TPX2,0.04827915
7476_RPL6_P1P2_ENSG00000089009,RPL6,0.048101887
7437_RPL13_P1P2_ENSG00000167526,RPL13,0.04770733
9174_TOP1_P1P2_ENSG00000198900,TOP1,0.047690347
2132_DDX56_P1P2_ENSG00000136271,DDX56,0.047569025
3372_GINS4_P1P2_ENSG00000147536,GINS4,0.047518697
9691_UXT_P1P2_ENSG00000126756,UXT,0.047461048
1579_CHMP1A_P1P2_ENSG00000131165,CHMP1A,0.047414646
6846_PSMA6_P1P2_ENSG00000100902,PSMA6,0.047305387
6962_PWP1_P1P2_ENSG00000136045,PWP1,0.047121514
5598_NELFA_P1P2_ENSG00000185049,NELFA,0.04704655
7450_RPL23_P1P2_ENSG00000125691,RPL23,0.046786897
6858_PSMC2_P1P2_ENSG00000161057,PSMC2,0.04670385
3658_HCFC1_P1P2_ENSG00000172534,HCFC1,0.046582967
7434_RPL12_P1P2_ENSG00000197958,RPL12,0.04652294
2222_DICER1_P1P2_ENSG00000100697,DICER1,0.04651213
1483_CENPJ_P1P2_ENSG00000151849,CENPJ,0.046509624
3980_HSPA9_P1P2_ENSG00000113013,HSPA9,0.046267964
8725_TBCB_P1P2_ENSG00000105254,TBCB,0.046243854
1929_CTDP1_P1P2_ENSG00000060069,CTDP1,0.046181403
6536_POLR1C_P1_ENSG00000171453,POLR1C,0.04616862
4472_KRR1_P1P2_ENSG00000111615,KRR1,0.046099503
3576_GTF2H3_P1P2_ENSG00000111358,GTF2H3,0.046081644
6524_POLE_P1P2_ENSG00000177084,POLE,0.045543265
815_BDP1_P1P2_ENSG00000145734,BDP1,0.045508604
4001_HYPK_P1P2_ENSG00000242028,HYPK,0.045465946
7481_RPL9_P1P2_ENSG00000163682,RPL9,0.04543202
10922_non-targeting_non-targeting_non-targeting,non-targeting,0.04530547
6539_POLR1E_P1P2_ENSG00000137054,POLR1E,0.045159444
4713_LTV1_P1P2_ENSG00000135521,LTV1,0.045065172
7198_RCC1_P1_ENSG00000180198,RCC1,0.045054495
