Perturbation,Gene_Target,Axis_Score
3447_GNL3_P1P2_ENSG00000163938,GNL3,0.12810801
7499_RPS11_P1P2_ENSG00000142534,RPS11,0.1277298
3716_HGS_P1P2_ENSG00000185359,HGS,0.12766288
4598_LIN9_P1P2_ENSG00000183814,LIN9,0.12683423
8594_SUPT16H_P1P2_ENSG00000092201,SUPT16H,0.12672056
7508_RPS19BP1_P1P2_ENSG00000187051,RPS19BP1,0.12652399
6874_PSMD6_P1P2_ENSG00000163636,PSMD6,0.12595083
821_BET1_P1P2_ENSG00000105829,BET1,0.12584841
6863_PSMC6_P1P2_ENSG00000100519,PSMC6,0.12569557
1545_CHAF1B_P1P2_ENSG00000159259,CHAF1B,0.12539566
4950_MED27_P1P2_ENSG00000160563,MED27,0.12536097
9703_VARS_P1P2_ENSG00000204394,VARS,0.12504305
1693_CMIP_P1P2_ENSG00000153815,CMIP,0.124808826
8230_SNRPD3_P1P2_ENSG00000100028,SNRPD3,0.123973034
32_ABCE1_P1P2_ENSG00000164163,ABCE1,0.12384272
1943_CTR9_P1P2_ENSG00000198730,CTR9,0.12354476
7312_RIOK2_P1P2_ENSG00000058729,RIOK2,0.12309868
7169_RBM28_P1P2_ENSG00000106344,RBM28,0.12285463
2135_DDX6_P1P2_ENSG00000110367,DDX6,0.12243273
8321_SPATA22_P1P2_ENSG00000141255,SPATA22,0.122037314
2321_DNTTIP2_P1P2_ENSG00000067334,DNTTIP2,0.12192649
9215_TPR_P1P2_ENSG00000047410,TPR,0.121871166
6652_PPP1R10_P1P2_ENSG00000204569,PPP1R10,0.12180307
5791_NR2E1_P1P2_ENSG00000112333,NR2E1,0.1215814
4154_INTS9_P1P2_ENSG00000104299,INTS9,0.12152019
2791_EXOSC4_P1P2_ENSG00000178896,EXOSC4,0.12141123
2783_EXOC6_P1P2_ENSG00000138190,EXOC6,0.121361844
7469_RPL38_P1P2_ENSG00000172809,RPL38,0.121360295
2790_EXOSC3_P1P2_ENSG00000107371,EXOSC3,0.12116085
8557_STX5_P1P2_ENSG00000162236,STX5,0.12061538
4869_MAVS_P1_ENSG00000088888,MAVS,0.12003514
6534_POLR1B_P1P2_ENSG00000125630,POLR1B,0.11959053
6857_PSMC1_P1P2_ENSG00000100764,PSMC1,0.119485594
5470_NAT10_P1P2_ENSG00000135372,NAT10,0.119048126
7455_RPL27_P1P2_ENSG00000131469,RPL27,0.118584365
5548_NDUFAF5_P1P2_ENSG00000101247,NDUFAF5,0.11853304
4746_MAD2L1_P1P2_ENSG00000164109,MAD2L1,0.11823934
7691_SCFD1_P1P2_ENSG00000092108,SCFD1,0.11814653
8458_SSRP1_P1P2_ENSG00000149136,SSRP1,0.11789497
2795_EXOSC8_P1P2_ENSG00000120699,EXOSC8,0.11777705
8229_SNRPD2_P1P2_ENSG00000125743,SNRPD2,0.11769485
687_ATP6V1H_P1P2_ENSG00000047249,ATP6V1H,0.11753395
10056_ZDHHC7_P1P2_ENSG00000153786,ZDHHC7,0.11735833
2328_DOHH_P1P2_ENSG00000129932,DOHH,0.11728599
7505_RPS16_P1P2_ENSG00000105193,RPS16,0.1169965
4108_IMP4_P1P2_ENSG00000136718,IMP4,0.116633676
1351_CCT7_P1P2_ENSG00000135624,CCT7,0.11652888
7833_SF3A2_P1_ENSG00000104897,SF3A2,0.116332784
2238_DLD_P1P2_ENSG00000091140,DLD,0.11632072
4985_METAP2_P1P2_ENSG00000111142,METAP2,0.11625184
16_AATF_P1P2_ENSG00000275700,AATF,0.11623067
7522_RPS2_P1P2_ENSG00000140988,RPS2,0.115503706
2128_DDX52_P1P2_ENSG00000278053,DDX52,0.115326405
6632_PPIL4_P1P2_ENSG00000131013,PPIL4,0.11507411
9844_WDR7_P1P2_ENSG00000091157,WDR7,0.114954755
681_ATP6V1C1_P1P2_ENSG00000155097,ATP6V1C1,0.11473438
6872_PSMD4_P1P2_ENSG00000159352,PSMD4,0.11447808
10202_ZNF207_P1_ENSG00000010244,ZNF207,0.11436
8903_TIAL1_P1P2_ENSG00000151923,TIAL1,0.114269316
2233_DIS3_P1P2_ENSG00000083520,DIS3,0.1141452
3573_GTF2H1_P1P2_ENSG00000110768,GTF2H1,0.11405518
4148_INTS3_P1P2_ENSG00000143624,INTS3,0.11379799
1455_CDR2L_P1P2_ENSG00000109089,CDR2L,0.11346972
2750_ETF1_P1P2_ENSG00000120705,ETF1,0.11319256
7623_S100A1_P2_ENSG00000160678,S100A1,0.1131017
4003_IARS2_P1P2_ENSG00000067704,IARS2,0.11275369
3502_GPN1_P1P2_ENSG00000198522,GPN1,0.11264932
7561_RRP12_P1P2_ENSG00000052749,RRP12,0.11234963
8910_TIGD5_P1P2_ENSG00000179886,TIGD5,0.11233323
7491_RPP30_P1P2_ENSG00000148688,RPP30,0.11230252
4943_MED20_P1P2_ENSG00000124641,MED20,0.112095125
7148_RBFOX2_P1_ENSG00000100320,RBFOX2,0.112054415
4695_LSM5_P1_ENSG00000106355,LSM5,0.11191549
2122_DDX46_P1_ENSG00000145833,DDX46,0.11166041
3622_HADHB_P1P2_ENSG00000138029,HADHB,0.111333154
4942_MED1_P1P2_ENSG00000125686,MED1,0.11111956
7431_RPL10A_P1P2_ENSG00000198755,RPL10A,0.11071128
2307_DNASE1L1_P1_ENSG00000013563,DNASE1L1,0.11066217
7476_RPL6_P1P2_ENSG00000089009,RPL6,0.1106275
8662_TAF2_P1P2_ENSG00000064313,TAF2,0.1105517
9065_DMAC1_P1P2_ENSG00000137038,DMAC1,0.11051662
5163_MPHOSPH10_P1P2_ENSG00000124383,MPHOSPH10,0.11025058
3557_GSTCD_P1P2_ENSG00000138780,GSTCD,0.11006417
6274_PHAX_P1_ENSG00000164902,PHAX,0.11004955
6575_POP4_P1P2_ENSG00000105171,POP4,0.11003899
6032_PAF1_P1P2_ENSG00000006712,PAF1,0.109977454
7423_RPAP2_P1P2_ENSG00000122484,RPAP2,0.1099698
2087_DDB1_P1_ENSG00000167986,DDB1,0.10977488
1910_CSRNP3_P1_ENSG00000178662,CSRNP3,0.10948922
7451_RPL24_P1P2_ENSG00000114391,RPL24,0.10941312
9684_UTP20_P1P2_ENSG00000120800,UTP20,0.10928357
8123_SLMAP_P1P2_ENSG00000163681,SLMAP,0.10916788
