Perturbation,Oxidative_Score,Inflammatory_Score,Senescence_Score
11270_non-targeting_non-targeting_non-targeting,-0.005651149,-0.029173918,-0.0140599655
10410_ZNF512_P1P2_ENSG00000243943,0.008299838,-0.02909498,0.0008522585
511_ARL5A_P1P2_ENSG00000162980,0.0005259633,-0.029026324,-0.046789862
7694_SCIN_P1P2_ENSG00000006747,0.023459654,-0.029004259,0.0033478364
7404_RNPC3_P1P2_ENSG00000185946,0.015494975,-0.028978791,0.0017289195
9890_XK_P1P2_ENSG00000047597,-0.002589383,-0.028937895,-0.013274833
6378_PITHD1_P1P2_ENSG00000057757,0.06726051,-0.028915837,0.011785666
2884_FAM185A_P1P2_ENSG00000222011,-0.0052149976,-0.028882965,-0.013481837
11187_non-targeting_non-targeting_non-targeting,-0.0032118615,-0.028852224,0.0012209169
9715_VDAC2_P1P2_ENSG00000165637,-0.0018355169,-0.028816745,-0.01674816
5563_NDUFC1_P1_ENSG00000109390,-0.0143564185,-0.028806629,-0.01664751
8065_SLC38A5_P1P2_ENSG00000017483,-0.008353338,-0.028769704,-0.007398887
8490_STARD4_P1P2_ENSG00000164211,0.008738785,-0.028640592,0.021771273
11227_non-targeting_non-targeting_non-targeting,-0.038777474,-0.028601617,0.014080619
10157_ZNF112_P1P2_ENSG00000062370,-0.010448025,-0.028594775,-0.003900969
10508_ZNF620_P1P2_ENSG00000177842,0.013635154,-0.02850223,0.020007381
5458_NANP_P1P2_ENSG00000170191,0.030915696,-0.028444514,0.0033884824
546_ARRB1_P1P2_ENSG00000137486,0.015109376,-0.028308041,-0.025864748
10277_ZNF304_P1P2_ENSG00000131845,0.0051614195,-0.028257336,-0.01941467
3138_FOSL1_P1P2_ENSG00000175592,-0.0035078346,-0.028244553,-0.019701978
3905_HOXB6_P1_ENSG00000108511,0.018484225,-0.028241022,0.004651135
2919_SHLD2_P1P2_ENSG00000122376,-0.054252546,-0.028227841,-0.03812405
7360_RNF166_P1_ENSG00000158717,0.01238536,-0.028158246,0.005762011
10023_ZC3H18_P1P2_ENSG00000158545,-0.0077065546,-0.028149577,-0.009723413
10090_ZFP42_P2_ENSG00000179059,0.01878165,-0.02809905,-0.006940775
8145_SMARCAL1_P1P2_ENSG00000138375,-0.020760896,-0.028039718,-0.014032095
9939_YLPM1_P1P2_ENSG00000119596,-0.015568952,-0.027931072,-0.090677164
3094_FKBP1A_P1P2_ENSG00000088832,0.03909733,-0.027921481,-0.023928525
11279_non-targeting_non-targeting_non-targeting,0.017431725,-0.02782486,0.02035249
4673_LRRC61_P1P2_ENSG00000127399,-0.008628335,-0.027742915,0.010293056
8387_SPTLC1_P1P2_ENSG00000090054,-0.01996252,-0.027711086,-0.0048270947
8951_TLX3_P1P2_ENSG00000164438,-0.0029369975,-0.027622694,-0.0080796275
1401_CDC42BPB_P1P2_ENSG00000198752,-0.00086116965,-0.027596382,0.036058877
5576_NDUFV2_P1P2_ENSG00000178127,-0.0763195,-0.027536571,-0.050249457
5511_NCOA7_P1P2_ENSG00000111912,0.01665969,-0.027525863,-0.0016913416
7030_RAB40B_P1P2_ENSG00000141542,-0.012278472,-0.027504016,0.06484089
5818_NRROS_P1P2_ENSG00000174004,0.0121962,-0.027494824,0.01144972
7430_RPIA_P1P2_ENSG00000153574,-0.042426437,-0.027449803,-0.023624701
5239_MRPL55_P1P2_ENSG00000162910,-0.10212579,-0.027446602,-0.030603247
10065_ZFAND1_P2_ENSG00000104231,0.023419417,-0.027429521,-0.009418954
1787_COPZ1_P2_ENSG00000111481,0.008528179,-0.027398644,-0.016157167
1865_CREBBP_P1P2_ENSG00000005339,-0.029660627,-0.027349068,-0.019942774
2720_ERP29_P1P2_ENSG00000089248,0.0077761007,-0.027334295,0.011296645
6662_PPP1R16A_P1P2_ENSG00000160972,0.012476568,-0.02731817,-0.0073274723
4466_KRAS_P1P2_ENSG00000133703,-0.00079645327,-0.027253978,0.02057564
3841_ARHGAP45_P1P2_ENSG00000180448,0.00814758,-0.0272517,-0.02194386
11109_non-targeting_non-targeting_non-targeting,-0.009971653,-0.02723436,0.009336654
10163_ZNF131_P1P2_ENSG00000172262,0.0036281734,-0.02714978,-0.007505839
10917_non-targeting_non-targeting_non-targeting,-0.022453312,-0.027139561,-0.035707254
11041_non-targeting_non-targeting_non-targeting,0.016139494,-0.027130371,0.02928439
4097_IL27RA_P1P2_ENSG00000104998,-0.00053171325,-0.02705483,-0.039790317
6819_PRRC2A_P1P2_ENSG00000204469,-0.021427734,-0.027034895,-0.011929864
3961_HSF4_P1P2_ENSG00000102878,-0.001464733,-0.026981475,0.008423628
9098_TMEM87A_P1P2_ENSG00000103978,-0.016217975,-0.026902467,-0.015667805
10538_ZNF669_P1P2_ENSG00000188295,0.005949311,-0.026880337,-0.05153433
11090_non-targeting_non-targeting_non-targeting,0.015878884,-0.026839685,0.063500434
2977_FASTKD2_P1P2_ENSG00000118246,0.052713517,-0.026785184,-0.0101636145
6191_PDLIM7_P1_ENSG00000196923,-0.025038105,-0.026771398,-0.010705828
1570_CHERP_P1P2_ENSG00000085872,-0.05779748,-0.026758626,-0.020957388
6665_PPP1R18_P1_ENSG00000146112,-0.004528933,-0.026752809,-0.01875659
3885_HOOK3_P1P2_ENSG00000168172,0.023419216,-0.026634572,-0.027280668
"5407_MYRFL_ENST00000299350.4,ENST00000548892.1_ENSG00000166268",0.012463643,-0.026585823,-0.0059963474
10690_ZNF891_P1P2_ENSG00000214029,0.0056940946,-0.026546134,-0.03514295
6303_PHLDB1_P2_ENSG00000019144,0.00438837,-0.026407389,0.005366172
9992_ZBTB39_P1P2_ENSG00000166860,0.044510134,-0.026392052,-0.018210502
