Perturbation,Gene_Target,Axis_Score
5730_NOC3L_P1P2_ENSG00000173145,NOC3L,0.096295245
4333_KEAP1_P1P2_ENSG00000079999,KEAP1,0.09564626
9798_BUD23_P1P2_ENSG00000071462,BUD23,0.0951615
2490_EEF2_P1_ENSG00000167658,EEF2,0.09514372
8898_THUMPD1_P1P2_ENSG00000066654,THUMPD1,0.095044
4945_MED22_P1P2_ENSG00000148297,MED22,0.09430238
9839_WDR74_P1_ENSG00000133316,WDR74,0.094187565
5548_NDUFAF5_P1P2_ENSG00000101247,NDUFAF5,0.09416592
7562_RRP15_P1P2_ENSG00000067533,RRP15,0.09403429
7523_RPS3A_P1P2_ENSG00000145425,RPS3A,0.09389849
7518_RPS27_P1P2_ENSG00000177954,RPS27,0.093892865
7503_RPS15A_P1P2_ENSG00000134419,RPS15A,0.09371808
1979_CXXC1_P1P2_ENSG00000154832,CXXC1,0.09337445
5964_LTO1_P1P2_ENSG00000149716,LTO1,0.093264684
5365_MYBBP1A_P1P2_ENSG00000132382,MYBBP1A,0.09297826
9364_TSR1_P1_ENSG00000167721,TSR1,0.09278699
1011_C18orf21_P1P2_ENSG00000141428,C18orf21,0.09220604
8832_TFAM_P1P2_ENSG00000108064,TFAM,0.09216928
1828_CPEB1_ENST00000568128.1_ENSG00000214575,CPEB1,0.091789536
7537_RPS7_P1P2_ENSG00000171863,RPS7,0.091450505
7460_RPL32_P1P2_ENSG00000144713,RPL32,0.09093933
1489_CENPP_P1P2_ENSG00000188312,CENPP,0.09083807
4523_LAS1L_P1P2_ENSG00000001497,LAS1L,0.09006728
7463_RPL35_P1P2_ENSG00000136942,RPL35,0.09005965
8121_SLIRP_P1P2_ENSG00000119705,SLIRP,0.089976326
5879_NUFIP1_P1P2_ENSG00000083635,NUFIP1,0.089428924
2051_DCAF13_P1P2_ENSG00000164934,DCAF13,0.0893208
6215_PELP1_P1P2_ENSG00000141456,PELP1,0.0889211
7481_RPL9_P1P2_ENSG00000163682,RPL9,0.08863935
5074_MIIP_P1P2_ENSG00000116691,MIIP,0.08848834
3409_NOP53_P1P2_ENSG00000105373,NOP53,0.08842518
7468_RPL37_P1P2_ENSG00000145592,RPL37,0.08841955
2213_DHX37_P1P2_ENSG00000150990,DHX37,0.087900735
32_ABCE1_P1P2_ENSG00000164163,ABCE1,0.087711334
9683_UTP18_P1P2_ENSG00000011260,UTP18,0.08762217
9174_TOP1_P1P2_ENSG00000198900,TOP1,0.08727926
7568_RRP9_P1P2_ENSG00000114767,RRP9,0.086724624
7437_RPL13_P1P2_ENSG00000167526,RPL13,0.086229384
7519_RPS28_P1P2_ENSG00000233927,RPS28,0.08603861
2226_DIMT1_P1P2_ENSG00000086189,DIMT1,0.08603168
9390_TTC4_P1P2_ENSG00000243725,TTC4,0.08593194
9820_WDR43_P1P2_ENSG00000163811,WDR43,0.084572665
645_ATP1A1_P1P2_ENSG00000163399,ATP1A1,0.08451148
2225_UTP25_P1P2_ENSG00000117597,UTP25,0.08414652
5192_MRM1_P1P2_ENSG00000278619,MRM1,0.084136166
2135_DDX6_P1P2_ENSG00000110367,DDX6,0.0841227
8710_TBC1D1_ENST00000261439.4_ENSG00000065882,TBC1D1,0.082748756
5809_NRBP1_P1P2_ENSG00000115216,NRBP1,0.082206465
2114_DDX27_P1P2_ENSG00000124228,DDX27,0.08220585
5734_NOL12_P1P2_ENSG00000273899,NOL12,0.08189081
3566_GTF2A1_P1P2_ENSG00000165417,GTF2A1,0.08188186
5449_NAF1_P1P2_ENSG00000145414,NAF1,0.08112839
7467_RPL37A_P1P2_ENSG00000197756,RPL37A,0.08111415
5726_NOB1_P1P2_ENSG00000141101,NOB1,0.080725975
7163_RBM19_P1P2_ENSG00000122965,RBM19,0.080521666
7471_RPL39_P1P2_ENSG00000198918,RPL39,0.08038068
7502_RPS14_P1P2_ENSG00000164587,RPS14,0.07891847
8668_TAF6_P1P2_ENSG00000106290,TAF6,0.07865723
5504_NCL_P1_ENSG00000115053,NCL,0.07803667
4938_MED16_P1P2_ENSG00000175221,MED16,0.07799656
1614_CINP_P1P2_ENSG00000100865,CINP,0.07787969
10676_ZNF84_P1P2_ENSG00000198040,ZNF84,0.07729869
10746_AC118549.1_P1P2_ENSG00000036549,AC118549.1,0.07675815
8291_SOX3_P1P2_ENSG00000134595,SOX3,0.07638986
9587_UMPS_P1P2_ENSG00000114491,UMPS,0.07621853
116_ACTR5_P1P2_ENSG00000101442,ACTR5,0.075798914
10701_ZNHIT3_P1P2_ENSG00000273611,ZNHIT3,0.07567588
7504_RPS15_P1P2_ENSG00000115268,RPS15,0.07557776
10722_ZSCAN2_P1P2_ENSG00000176371,ZSCAN2,0.075399116
4713_LTV1_P1P2_ENSG00000135521,LTV1,0.07511287
2993_FBXL14_P1P2_ENSG00000171823,FBXL14,0.074898645
6905_PTEN_P1P2_ENSG00000171862,PTEN,0.07407076
7433_RPL11_P1P2_ENSG00000142676,RPL11,0.073735006
10995_non-targeting_non-targeting_non-targeting,non-targeting,0.073567286
2295_DNAJC24_P1P2_ENSG00000170946,DNAJC24,0.07350174
815_BDP1_P1P2_ENSG00000145734,BDP1,0.07329649
5667_NHP2_P1P2_ENSG00000145912,NHP2,0.07310425
7388_RNF31_P1P2_ENSG00000092098,RNF31,0.073026516
7539_RPS9_P1P2_ENSG00000170889,RPS9,0.07280145
1483_CENPJ_P1P2_ENSG00000151849,CENPJ,0.07264006
8597_SUPT4H1_P1P2_ENSG00000213246,SUPT4H1,0.07243815
62_ABT1_P1P2_ENSG00000146109,ABT1,0.07240665
