perturbation,spearman_rho,gene_symbol,ensembl_id
7683_SCAMP4_P1P2_ENSG00000227500,0.0391217230697835,SCAMP4,ENSG00000227500
8888_THOC2_P1P2_ENSG00000125676,0.039110664288918295,THOC2,ENSG00000125676
6198_PDSS1_P1P2_ENSG00000148459,0.039086581235554765,PDSS1,ENSG00000148459
7993_SLC25A23_P1P2_ENSG00000125648,0.039084460624238815,SLC25A23,ENSG00000125648
4073_IGHMBP2_P1P2_ENSG00000132740,0.03904329128233515,IGHMBP2,ENSG00000132740
4482_KRTCAP2_P1P2_ENSG00000163463,0.03903768577727557,KRTCAP2,ENSG00000163463
782_BCAP29_P1P2_ENSG00000075790,0.039014876439568406,BCAP29,ENSG00000075790
973_C14orf119_P1P2_ENSG00000179933,0.038987216962213606,C14orf119,ENSG00000179933
8998_TMEM134_P1P2_ENSG00000172663,0.038963602158327365,TMEM134,ENSG00000172663
3034_FBXW2_P1P2_ENSG00000119402,0.03891968113751186,FBXW2,ENSG00000119402
8990_TMEM120B_P1P2_ENSG00000188735,0.038892965857547444,TMEM120B,ENSG00000188735
5000_METTL23_P1P2_ENSG00000181038,0.03886873924621658,METTL23,ENSG00000181038
8072_SLC39A14_P1P2_ENSG00000104635,0.03886315301068283,SLC39A14,ENSG00000104635
4688_LSM14A_P1P2_ENSG00000257103,0.038861327223111856,LSM14A,ENSG00000257103
646_ATP1B3_P1P2_ENSG00000069849,0.03886043697101921,ATP1B3,ENSG00000069849
1086_DIPK2A_P1P2_ENSG00000181744,0.038857744054786564,DIPK2A,ENSG00000181744
5865_NUDT16L1_P1P2_ENSG00000168101,0.03884952945593164,NUDT16L1,ENSG00000168101
3189_FOXP4_P1P2_ENSG00000137166,0.038809901676093175,FOXP4,ENSG00000137166
2206_DHX30_P2_ENSG00000132153,0.03880652276474152,DHX30,ENSG00000132153
53_ABI1_P1P2_ENSG00000136754,0.038801727543242466,ABI1,ENSG00000136754
3506_GPR108_P1P2_ENSG00000125734,0.03878875433498754,GPR108,ENSG00000125734
10065_ZFAND1_P2_ENSG00000104231,0.038770723839682476,ZFAND1,ENSG00000104231
6207_PEAK1_P1P2_ENSG00000173517,0.038717502372857836,PEAK1,ENSG00000173517
1791_COQ2_P1P2_ENSG00000173085,0.038691693733457565,COQ2,ENSG00000173085
3217_FUCA1_P1P2_ENSG00000179163,0.0386632702194042,FUCA1,ENSG00000179163
2239_DLG1_P1P2_ENSG00000075711,0.03860201046988585,DLG1,ENSG00000075711
9746_VPS26B_P1P2_ENSG00000151502,0.038557851461051985,VPS26B,ENSG00000151502
510_ARL4D_P1P2_ENSG00000175906,0.038530623148618125,ARL4D,ENSG00000175906
4950_MED27_P1P2_ENSG00000160563,0.03848689046876209,MED27,ENSG00000160563
3080_FHL3_P1P2_ENSG00000183386,0.03844601016974564,FHL3,ENSG00000183386
4660_LRRC28_P1P2_ENSG00000168904,0.038339228092442015,LRRC28,ENSG00000168904
3148_FOXC2_P1P2_ENSG00000176692,0.03826702470669254,FOXC2,ENSG00000176692
5807_NRAS_P1P2_ENSG00000213281,0.038263646267861696,NRAS,ENSG00000213281
4592_LIN37_P1P2_ENSG00000267796,0.03826165090846355,LIN37,ENSG00000267796
1448_CDKN2AIPNL_P1P2_ENSG00000237190,0.0382586564241519,CDKN2AIPNL,ENSG00000237190
