ID_REF,gene_symbol,logfc_amd_vs_ctrl,pvalue
569,569,-0.04750944146250724,0.2941299153940561
570,570,0.04187719302493087,0.4553838289463167
571,571,0.08537432325064209,0.23399764173012388
572,572,0.05221629214717538,0.39300508559871594
573,573,0.12782142008370911,0.3240001595185982
574,574,-0.05610043285494459,0.2665299720356288
575,575,0.05631935992882742,0.46357105910562635
576,576,0.07146329271039908,0.2073131279550725
578,578,0.20478330727588734,0.16836106312302376
579,579,0.003787190758635539,0.9702701982253854
580,580,0.016998008512972618,0.7601476629604748
581,581,0.0013506550879518464,0.9790206933293149
582,582,0.058952219394718064,0.2356309261664539
583,583,0.07694256474755368,0.14818414025230475
584,584,-0.18047782442387028,0.06318845581442264
585,585,-0.025731242070564875,0.5997699283033683
586,586,-0.013881126350717032,0.9016501069787484
587,587,-0.2540952925296054,0.02432825733594614
